Run	Gage	A	B	C	D	E	F	DIF	Sint	Gint	Aint	RMSE	ABCD	SqMi	Nash	RMSE	Lat	Long
1	1013500	0.9508	278.9	0.262	0.051	0.489	3.09	9.97	271.96	75.64	78.32	26.56	0	869.765991	0.787024799	24.19930703	47.00778	-68.57562
2	1017550	0.9720	262.0	0.175	0.296	0.240	0.46	10.00	302.32	120.33	13.74	19.01	0	3.87348	0.876355774	17.30589624	46.6431	-67.96973
3	1021470	0.8859	195.8	0.584	0.503	0.302	-4.66	5.17	236.46	86.47	1.00	19.73	0	6.216259	0.746675827	19.36415462	44.78037	-67.74614
4	1021480	0.9308	341.7	0.021	0.000	0.250	-1.70	9.05	326.44	19.80	68.29	23.66	0	29.628799	0.78998506	23.82405908	44.9869	-67.79255
5	1022260	0.7971	438.2	0.000	0.642	0.616	-1.02	8.02	60.31	61.24	49.17	22.69	0	62.5452	0.843400063	22.52624456	44.77489	-67.91327
7	1022500	0.8805	362.3	0.000	0.198	0.453	-4.15	5.26	184.81	5.35	146.75	30.47	0	221.466995	0.675593954	30.71518229	44.7811	-68.06102
9	1027200	0.9004	323.4	0.106	0.917	0.343	0.30	9.98	304.50	1.00	107.72	24.90	0	224.729003	0.857890642	24.84150988	46.0628	-70.10178
10	1029200	0.8867	397.3	0.071	0.784	0.261	0.26	9.02	102.33	199.93	117.82	36.95	0	171.792999	0.622438449	34.96864035	46.23613	-68.6331
11	1030500	0.8975	268.3	0.161	1.000	0.375	-0.71	9.17	88.71	199.96	65.42	30.54	0	1419.369995	0.715818092	28.92909143	45.80439	-68.1492
12	1031300	0.9572	191.1	0.494	0.933	0.069	-1.84	10.00	5.25	200.00	28.15	31.09	0	117.519996	0.774402147	29.69694342	45.33209	-69.66748
15	1037380	0.9652	318.0	0.000	0.544	0.565	-4.06	3.53	246.36	46.23	65.96	36.34	0	15.0668	0.716934613	36.3866448	44.36117	-69.09787
16	1044550	0.9594	380.5	0.392	1.000	0.428	0.38	10.00	358.92	15.01	62.60	19.39	0	192.957	0.881383439	19.4419003	45.44695	-70.26489
20	1052500	0.9278	315.5	0.000	0.831	0.706	0.25	10.00	78.04	124.17	177.73	22.57	0	148.194	0.889255104	22.27983736	44.96217	-71.1733
21	1054200	0.8639	310.6	0.167	1.000	0.415	2.46	10.00	26.24	156.25	27.92	33.86	0	69.876899	0.852891962	27.95899385	44.31045	-71.05925
22	1054300	0.8980	253.4	0.408	0.998	0.217	-3.28	6.94	275.89	54.75	1.00	26.41	0	130.397994	0.801514845	24.20425114	44.66758	-70.76115
23	1055000	0.7519	386.8	0.000	0.394	0.152	-4.00	5.91	216.12	90.23	17.54	31.45	0	96.771896	0.782546906	30.0149469	44.75182	-70.62656
24	1057000	0.9981	341.1	0.607	0.575	0.017	-1.53	10.00	51.25	161.99	50.35	24.88	0	73.713897	0.801103805	24.59327298	44.34505	-70.6025
25	1064300	0.9549	437.0	0.156	1.000	0.709	1.91	9.83	167.70	50.49	200.00	27.52	0	10.5922	0.814420614	28.14022207	44.24604	-71.2691
26	1064400	0.4336	288.7	0.000	1.000	0.422	3.80	10.00	36.58	25.81	53.29	42.23	0	4.69911	0.636985768	42.96864863	44.05977	-71.2007
27	1064801	0.9295	536.9	0.301	0.000	0.642	-0.65	7.98	352.52	122.05	19.23	33.18	0	66.949996	0.739781832	32.33081453	43.85529	-71.4027
29	1073000	0.9631	415.5	0.000	0.570	0.001	-2.85	4.24	296.61	48.90	50.33	19.99	0	12.0843	0.903233842	20.11469819	43.15717	-71.00616
30	1074520	0.9889	329.9	0.537	0.045	0.739	4.76	8.83	276.07	200.00	156.39	30.81	0	114.745002	0.736560632	31.94663276	44.11041	-71.54086
31	1075800	0.9402	389.2	0.227	0.072	0.704	-1.18	4.08	265.04	100.30	1.00	34.17	0	2.963049	0.603059312	34.23255919	43.85727	-71.86824
33	1078000	0.9306	432.0	0.077	0.528	0.214	-0.88	8.23	250.95	96.04	1.00	22.29	0	85.890602	0.803262073	22.18495833	43.56155	-71.89263
