YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 73.44 2.97 -7.99 -2.51 18.19 10.97
2000 2 44.49 1.84 -10.67 -4.42 20.01 12.5
2000 3 83.99 5.31 -5.41 -0.05 37.9 10.72
2000 4 154.81 12.33 0.81 6.57 71.25 11.51
2000 5 110.06 19.02 4.07 11.55 123.07 14.95
2000 6 53.17 24.97 11.47 18.22 153.67 13.5
2000 7 56.4 27.7 13.6 20.65 175.07 14.1
2000 8 55.88 26.53 11.94 19.23 158.94 14.59
2000 9 112.88 23.73 10.7 17.22 115.51 13.03
2000 10 151.25 16.93 3.62 10.27 73.76 13.31
2000 11 81.55 9.81 -1.21 4.3 35.75 11.02
2000 12 119.38 1.08 -7.84 -3.38 16.13 8.92
2001 1 140.28 1.59 -8.39 -3.4 16.34 9.98
2001 2 53.32 -0.42 -12.22 -6.32 16.68 11.81
2001 3 111.57 6.8 -5.01 0.9 41.9 11.81
2001 4 42.28 14.27 0.8 7.54 80.12 13.47
2001 5 72.57 21.61 6.4 14.01 134.56 15.21
2001 6 85.57 25.3 12.34 18.82 153.09 12.96
2001 7 129.48 28.04 14.76 21.4 173.22 13.28
2001 8 200.43 24.65 11.67 18.16 145.57 12.98
2001 9 55.32 22.82 9.02 15.92 114.46 13.79
2001 10 165.76 16.25 3.99 10.12 70.39 12.26
2001 11 117.29 8.84 -1.84 3.5 33.92 10.68
2001 12 182.53 1.61 -10.15 -4.27 17.38 11.76
2002 1 163.1 1.76 -8.63 -3.44 16.64 10.39
2002 2 68.01 1.2 -10.83 -4.82 19.04 12.03
2002 3 93.13 6.39 -5.58 0.4 41.07 11.98
2002 4 126.25 12.48 0.26 6.37 72.79 12.22
2002 5 83.76 20.47 5.97 13.22 128.15 14.5
2002 6 52.71 25.18 11.61 18.4 154.87 13.58
2002 7 140.41 27.74 13.47 20.6 175.91 14.27
2002 8 70.94 26.85 13.02 19.93 157.65 13.82
2002 9 47.88 21.85 8 14.93 111.3 13.85
2002 10 103.89 18.28 4.33 11.31 78.26 13.94
2002 11 56.07 8.37 -3.97 2.2 34.24 12.34
2002 12 117.66 2.09 -7.87 -2.89 17.62 9.96
2003 1 90.3 0.89 -10.28 -4.7 15.73 11.17
2003 2 58.93 1.18 -10.31 -4.57 19.64 11.49
2003 3 219.69 5.38 -5.28 0.05 38.44 10.66
2003 4 82.06 16.32 1.67 8.99 89.08 14.64
2003 5 42.77 21.77 6.11 13.94 136.88 15.66
2003 6 106.68 24.67 12.21 18.44 148.81 12.46
2003 7 128.87 27.29 13.99 20.64 169.76 13.29
2003 8 84.48 26.19 12.92 19.55 152.3 13.27
2003 9 73.01 22.95 9.9 16.42 112.18 13.05
2003 10 30.06 18.53 3.89 11.21 79.1 14.65
2003 11 83.98 10.75 -1.26 4.75 37.63 12.01
2003 12 54.42 1.27 -8.38 -3.55 16.46 9.65
2004 1 55.93 0.15 -11.06 -5.46 14.85 11.21
2004 2 57.14 2.6 -9.81 -3.61 21.14 12.41
2004 3 133.15 6.35 -3.8 1.28 39.62 10.15
2004 4 144.34 12.25 0.26 6.26 71.75 11.98
2004 5 64.87 20.07 5.61 12.84 126.4 14.46
2004 6 22.06 25.53 10.97 18.25 159.72 14.56
2004 7 50.17 27.37 13.07 20.22 174.32 14.3
2004 8 82.48 27.05 12.91 19.98 159.63 14.14
2004 9 77.36 23.96 10.1 17.03 118.52 13.86
2004 10 152.86 17.69 5.8 11.75 73.35 11.89
2004 11 60.97 7.52 -3.18 2.17 31.84 10.7
2004 12 160.18 2.69 -6.17 -1.74 17.9 8.86
2005 1 65.68 0.64 -10.79 -5.08 15.46 11.44
2005 2 34.87 1.54 -10.33 -4.4 19.52 11.87
2005 3 114.27 4.38 -6.62 -1.12 36.07 11.01
2005 4 82.98 11.77 -0.72 5.52 71.02 12.49
2005 5 166.5 18.02 5.81 11.92 112.64 12.21
2005 6 70.63 25.31 11.07 18.19 157.71 14.24
2005 7 84.31 27.28 13.9 20.59 170.25 13.38
2005 8 111.76 24.55 12.93 18.74 139.96 11.62
2005 9 66.04 23.52 9.75 16.63 116.82 13.78
2005 10 86.36 17.89 3.82 10.85 77.42 14.08
2005 11 112.45 9.95 -1.23 4.36 36.1 11.18
2005 12 89.18 2.47 -6.45 -1.99 17.68 8.92
2006 1 43.76 -0.82 -11.52 -6.17 13.67 10.7
2006 2 78.14 2.42 -8.72 -3.15 20.67 11.14
2006 3 170.8 6.44 -4.14 1.15 40.18 10.58
2006 4 69.64 12.96 -1.06 5.95 76.64 14.03
2006 5 45.66 20.76 5.09 12.93 131.9 15.66
2006 6 72.1 24.67 11.71 18.19 150.44 12.96
2006 7 45.49 27.45 13.1 20.28 174.87 14.35
2006 8 43.79 27.26 13.33 20.3 159.81 13.94
2006 9 91.38 22.11 9.25 15.68 109.74 12.86
2006 10 208.44 16.73 3.61 10.17 72.98 13.13
2006 11 100.89 8.57 -1.72 3.43 33.18 10.29
2006 12 40.02 0.69 -9.52 -4.41 16.02 10.22
2007 1 50.59 1.15 -10.09 -4.47 16.06 11.25
2007 2 64.18 2 -9.23 -3.62 20.81 11.23
2007 3 157.78 5.05 -6.48 -0.71 38.28 11.54
2007 4 109.09 12.43 -0.84 5.8 74.7 13.27
2007 5 27.63 21.16 6.3 13.73 132.48 14.86
2007 6 71.68 26.55 11.18 18.86 167.22 15.38
2007 7 215.89 28.01 14.55 21.28 173.65 13.46
2007 8 52.06 25.92 12.79 19.36 150.7 13.13
2007 9 237.3 22.03 10.39 16.21 105.27 11.64
2007 10 23.65 17.64 2.34 9.99 77.46 15.31
2007 11 123.69 9.87 -1.25 4.31 35.51 11.12
2007 12 65.31 1.33 -9.74 -4.2 16.83 11.07
2008 1 103.63 1.69 -8.68 -3.49 16.55 10.36
2008 2 133.29 0.79 -10.01 -4.61 18.33 10.8
2008 3 95.18 4.66 -6.02 -0.68 36.5 10.69
2008 4 92.52 12.89 0.09 6.49 74.89 12.8
2008 5 83.95 19.94 5.66 12.8 125.39 14.27
2008 6 76.75 26.06 11.41 18.73 162.35 14.65
2008 7 63.03 26.87 13.2 20.04 169.61 13.67
2008 8 102.95 26.52 13.49 20 153.33 13.03
2008 9 99.02 22.83 9.71 16.27 112.77 13.12
2008 10 42.81 17.48 1.79 9.63 78.24 15.68
2008 11 136.56 10.18 -1.71 4.23 37.02 11.89
