year,month,day,precip,tmax,tmin,wind
2010,3,1,0,5.13,-13.18,-4.025
2010,3,2,0,2.63,-6.58,-1.975
2010,3,3,0.153,2.57,-4.09,-0.76
2010,3,4,0,1.43,-9.36,-3.965
2010,3,5,0,2.63,-6.58,-1.975
2010,3,6,0.153,2.57,-4.09,-0.76
2010,3,7,0,1.43,-9.36,-3.965
2010,3,8,0,2.63,-6.58,-1.975
2010,3,9,0.153,2.57,-4.09,-0.76
2010,3,10,0,3.17,-7.64,-2.235
2010,3,11,14.832,5.2,-7.63,-1.215
2010,3,12,3.258,8.57,-3.82,2.375
2010,3,13,0,1.79,-2.31,-0.26
2010,3,14,0,5.98,-1.92,2.03
2010,3,15,0,9.91,-5.61,2.15
2010,3,16,0.045,13.04,-1.94,5.55
2010,3,17,8.118,12.35,-5.18,3.585
2010,3,18,3.573,10.6,-1.48,4.56
2010,3,19,0,11.49,-2.9,4.295
2010,3,20,0.675,9.64,-3.21,3.215
2010,3,21,0.135,6.96,0.6,3.78
2010,3,22,0,3.99,-8.81,-2.41
2010,3,23,0,12.8,-3.62,4.59
2010,3,24,0,13.67,-5.39,4.14
2010,3,25,0.675,9.64,-3.21,3.215
2010,3,26,3.195,10.86,3.68,7.27
2010,3,27,4.302,20.5,3.83,12.165
2010,3,28,0,9.1,-1.33,3.885
2010,3,29,10.89,9.74,-1.12,4.31
2010,3,30,0,7.33,-4.68,1.325
2010,3,31,0,-0.68,-8.28,-4.48
2010,4,1,0,-0.81,-9,-4.905
2010,4,2,0.135,5.08,-4.4,0.34
2010,4,3,0,9.23,-4.89,2.17
2010,4,4,0,7.48,-6.55,0.465
2010,4,5,0,13.15,-2.57,5.29
2010,4,6,0,12.03,-3.41,4.31
2010,4,7,0,14.25,-2.29,5.98
2010,4,8,0,14.93,-3.63,5.65
2010,4,9,0,19.77,0.03,9.9
2010,4,10,0,15.68,4.36,10.02
2010,4,11,0,15.68,4.36,10.02
2010,4,12,0,15.68,4.36,10.02
2010,4,13,0,14.31,0.76,7.535
2010,4,14,0,17.45,0.15,8.8
2010,4,15,0,24.99,3.55,14.27
2010,4,16,0.072,23.1,6.92,15.01
2010,4,17,1.008,11.56,-3.72,3.92
2010,4,18,0.045,19.72,1.12,10.42
2010,4,19,0,21.71,7.68,14.695
2010,4,20,0,24.99,5.9,15.445
2010,4,21,0,26.83,8.99,17.91
2010,4,22,0,30.74,4.57,17.655
2010,4,23,0,14.07,2.77,8.42
2010,4,24,0,17.95,-0.76,8.595
2010,4,25,0.558,23.04,8.56,15.8
2010,4,26,0,22.63,5.83,14.23
2010,4,27,1.62,17.62,2.25,9.935
2010,4,28,0,18.39,4.07,11.23
2010,4,29,0,24.56,3.87,14.215
2010,4,30,0,27.4,8.91,18.155
2010,5,1,0,27.94,11.77,19.855
2010,5,2,0.18,25.02,12.35,18.685
2010,5,3,0,21.29,6.99,14.14
2010,5,4,28.332,20.7,9.93,15.315
2010,5,5,29.745,22.15,6.76,14.455
2010,5,6,0.657,15.8,5.1,10.45
2010,5,7,0,22.65,3.24,12.945
2010,5,8,0,26.62,6.05,16.335
2010,5,9,0,28.01,7.14,17.575
2010,5,10,0.225,30,5.27,17.635
2010,5,11,0.423,28.52,10.45,19.485
2010,5,12,0.495,27.42,12.17,19.795
2010,5,13,0.495,27.42,12.17,19.795
2010,5,14,0.495,27.42,12.17,19.795
2010,5,15,0.495,27.42,12.17,19.795
2010,5,16,0.495,27.42,12.17,19.795
2010,5,17,0,16.84,6.71,11.775
2010,5,18,7.785,18.89,9.67,14.28
2010,5,19,2.952,18.51,4.56,11.535
2010,5,20,0.027,24.14,4.77,14.455
2010,5,21,0,26.28,5.91,16.095
2010,5,22,0,29.85,8.8,19.325
2010,5,23,0,31.31,14.61,22.96
2010,5,24,0,29.73,16.95,23.34
2010,5,25,2.502,29.6,17.65,23.625
2010,5,26,0,20.9,8.37,14.635
2010,5,27,0,17.33,3.71,10.52
2010,5,28,0,22.08,3.77,12.925
2010,5,29,0,22.31,3.88,13.095
2010,5,30,0,22.31,3.88,13.095
2010,5,31,3.348,23.62,9.07,16.345
2010,6,1,0,20.9,8.37,14.635
2010,6,2,1.935,19.16,10.79,14.975
2010,6,3,1.035,26,15.55,20.775
2010,6,4,0.738,29.14,15.02,22.08
2010,6,5,4.392,30.38,15.28,22.83
2010,6,6,0,22.36,4.28,13.32
2010,6,7,3.105,23.72,8.92,16.32
2010,6,8,3.465,23.8,11.58,17.69
2010,6,9,0,22.36,4.28,13.32
2010,6,10,3.105,23.72,8.92,16.32
2010,6,11,0.153,20.09,9.75,14.92
2010,6,12,17.91,28.57,9.31,18.94
2010,6,13,1.125,17.6,11.14,14.37
2010,6,14,0,17.74,8.44,13.09
2010,6,15,2.772,20.06,5.25,12.655
2010,6,16,3.375,23.81,12.31,18.06
2010,6,17,0,23.41,6.87,15.14
2010,6,18,15.525,33.29,18.44,25.865
2010,6,19,2.502,27.68,12.9,20.29
2010,6,20,0,26.85,10.72,18.785
2010,6,21,0.63,24.27,9.34,16.805
2010,6,22,0,24.76,8.46,16.61
2010,6,23,0,22.24,7.48,14.86
2010,6,24,1.26,25.11,11.8,18.455
2010,6,25,0.045,23.1,14.03,18.565
2010,6,26,3.42,29.08,13.29,21.185
2010,6,27,0,25.64,7.25,16.445
2010,6,28,0,28.08,8.63,18.355
2010,6,29,0,27.35,13.01,20.18
2010,6,30,0,27.66,14.67,21.165
2010,7,1,0,33.49,13.82,23.655
2010,7,2,0,33.18,18.35,25.765
2010,7,3,8.01,30.62,17.26,23.94
2010,7,4,2.385,29.9,18.95,24.425
2010,7,5,3.6,29.83,13.54,21.685
2010,7,6,0.135,28.83,11.36,20.095
2010,7,7,0,30.93,13.3,22.115
2010,7,8,0,31.75,14.84,23.295
2010,7,9,0,34.32,17.83,26.075
2010,7,10,0,33.91,20.13,27.02
2010,7,11,0.315,32.77,16.05,24.41
2010,7,12,0.657,36.1,19.72,27.91
2010,7,13,1.242,32.83,19.81,26.32
2010,7,14,3.492,29.71,14.22,21.965
2010,7,15,7.29,32.58,19.93,26.255
2010,7,16,0.198,30.09,14.14,22.115
2010,7,17,0,28.23,16.9,22.565
2010,7,18,0,28.28,17.1,22.69
2010,7,19,0,24.45,10,17.225
2010,7,20,0.675,30.68,15.75,23.215
2010,7,21,0,26.26,10.3,18.28
2010,7,22,0,26.57,10.24,18.405
2010,7,23,0,27.06,12.82,19.94
2010,7,24,0,25.75,8.26,17.005
2010,7,25,0.513,25.59,9.83,17.71
2010,7,26,2.547,30.85,17.4,24.125
2010,7,27,0.045,28.58,18.72,23.65
2010,7,28,2.403,29.33,11.24,20.285
2010,7,29,0.972,31.24,16.92,24.08
2010,7,30,0,29.55,16.48,23.015
2010,7,31,0,28.81,13.87,21.34
2010,8,1,0,29.56,14.8,22.18
2010,8,2,0,26.04,11.78,18.91
2010,8,3,1.998,30.18,12.85,21.515
2010,8,4,18.225,33.4,15.68,24.54
2010,8,5,4.23,32.15,19.77,25.96
2010,8,6,0.918,31.45,21.16,26.305
2010,8,7,2.403,31.44,18.54,24.99
2010,8,8,0,30.89,17.05,23.97
2010,8,9,0,32.79,19.1,25.945
2010,8,10,0,34.94,20.4,27.67
2010,8,11,12.6,30.81,17.53,24.17
2010,8,12,0.468,27.19,15.25,21.22
2010,8,13,0,24.68,5.86,15.27
2010,8,14,0.792,29.06,14.15,21.605
2010,8,15,0,27.25,13.42,20.335
2010,8,16,0,25.59,8.17,16.88
2010,8,17,0,28.31,7.54,17.925
2010,8,18,0.9,28.37,11.67,20.02
2010,8,19,0,25.13,7.3,16.215
2010,8,20,0,27.36,7.1,17.23
2010,8,21,2.277,29.2,14.59,21.895
2010,8,22,0,25.27,6.37,15.82
2010,8,23,0,26.9,6.37,16.635
2010,8,24,0,28.1,10.4,19.25
2010,8,25,0,26,10.27,18.135
2010,8,26,0,28.08,12.03,20.055
2010,8,27,0.693,25.93,14.3,20.115
2010,8,28,0.945,28.88,12.88,20.88
2010,8,29,0.108,28.53,9.08,18.805
2010,8,30,7.335,28.4,11.1,19.75
2010,8,31,0,28.74,18.27,23.505
2010,9,1,0,25.09,5.45,15.27
2010,9,2,0,23.5,6.86,15.18
