YEAR MONTH DAY PRCP TMAX TMIN TAVG
2000 1 1 0 31 21 26
2000 1 2 0.25 1.87 -5.55 -1.84
2000 1 3 0.93 -0.71 -11.2 -5.96
2000 1 4 0.98 8.39 0.15 4.27
2000 1 5 0 -2.37 -19.37 -10.87
2000 1 6 0 1.15 -5.74 -2.29
2000 1 7 11.82 6.87 -0.26 3.31
2000 1 8 12.52 -9.84 -15.03 -12.44
2000 1 9 3.12 -5.11 -9.71 -7.41
2000 1 10 0 -1.98 -18.77 -10.38
2000 1 11 0 -6.95 -17.81 -12.38
2000 1 12 0 6.51 -2.23 2.14
2000 1 13 0 2.64 -15.44 -6.4
2000 1 14 0 4.87 -2.95 0.96
2000 1 15 0.17 -0.68 -10.9 -5.79
2000 1 16 1.38 -0.08 -8.33 -4.21
2000 1 17 3.95 3.99 -4.73 -0.37
2000 1 18 0 3.77 -15.23 -5.73
2000 1 19 0.03 3.86 -2.39 0.73
2000 1 20 0.55 -3.7 -15.39 -9.54
2000 1 21 0 0.58 -11.31 -5.37
2000 1 22 0 -7.02 -17.4 -12.21
2000 1 23 1.58 -3.69 -24.5 -14.1
2000 1 24 6.35 -2.51 -11.65 -7.08
2000 1 25 1.88 -1.27 -12.68 -6.97
2000 1 26 0.1 -0.75 -18.61 -9.68
2000 1 27 0 -4.5 -13.32 -8.91
2000 1 28 0 0.47 -11.64 -5.58
2000 1 29 0 5.85 -4.77 0.54
2000 1 30 0 -0.28 -9.77 -5.02
2000 1 31 0.93 1.49 -8.72 -3.62
2000 2 1 0 5.96 -5.33 0.31
2000 2 2 14.38 7.1 -2.86 2.12
2000 2 3 0.22 1.93 -14.19 -6.13
2000 2 4 1.62 2.32 -5.69 -1.68
2000 2 5 0.25 2.54 -8.3 -2.88
2000 2 6 1.25 -2.67 -20.56 -11.61
2000 2 7 2.95 13.39 3.42 8.41
2000 2 8 0 6.78 -4.53 1.12
2000 2 9 0 5.14 -9.94 -2.4
2000 2 10 0 5.91 -7.81 -0.95
2000 2 11 2.92 1.37 -9.5 -4.07
2000 2 12 2.1 3.24 -3.69 -0.23
2000 2 13 0.17 4.67 -1.08 1.8
2000 2 14 0.2 3.4 -6.99 -1.8
2000 2 15 0.68 3.57 -10.23 -3.33
2000 2 16 0.1 10.58 -8.52 1.03
2000 2 17 0 -1.58 -12.2 -6.89
2000 2 18 0 -4.9 -11.5 -8.2
2000 2 19 7.78 3.83 -12.73 -4.45
2000 2 20 21.92 2.77 -5.39 -1.31
2000 2 21 7.93 1.39 -3.38 -0.99
2000 2 22 2.65 2 -2.31 -0.16
2000 2 23 0 2.45 -9.38 -3.47
2000 2 24 0 -5.49 -14.4 -9.95
2000 2 25 0.38 3.32 -8.51 -2.59
2000 2 26 10.65 11.84 -0.4 5.72
2000 2 27 0 3.8 -3.59 0.1
2000 2 28 0.03 4.5 -4.12 0.19
2000 2 29 0 2.05 -4.16 -1.06
2000 3 1 1.2 -4.65 -13.34 -9
2000 3 2 9.35 17.25 1.96 9.61
2000 3 3 0 -0.26 -5.79 -3.03
2000 3 4 0 4.92 -6.99 -1.04
2000 3 5 0.43 5.05 -7.64 -1.3
2000 3 6 7.9 7.66 -5.38 1.14
2000 3 7 0 5.34 -3.29 1.02
2000 3 8 14.35 0.41 -9.58 -4.58
2000 3 9 0 6.21 0.67 3.44
2000 3 10 0 1.76 -16.67 -7.46
2000 3 11 0 -1.73 -9.81 -5.77
2000 3 12 0 4.74 -11.89 -3.58
2000 3 13 0 9.49 -0.45 4.52
2000 3 14 0 10.17 -1.23 4.47
2000 3 15 0 10.76 -0.07 5.34
2000 3 16 0 7.4 1.38 4.39
2000 3 17 0 15.14 -5.22 4.96
2000 3 18 1.3 8.62 -3.93 2.35
2000 3 19 0.45 -0.59 -5.33 -2.96
2000 3 20 5.3 7.56 1.42 4.49
2000 3 21 0.47 7.62 -0.65 3.49
2000 3 22 5.3 7.56 1.42 4.49
2000 3 23 0 5.96 -2.47 1.74
2000 3 24 0 10.84 -8.59 1.12
2000 3 25 3.38 16.91 1.39 9.15
2000 3 26 8.05 7.97 -1.14 3.42
2000 3 27 2.45 4.53 -2.26 1.14
2000 3 28 0.12 8.1 -3.32 2.39
2000 3 29 0 6.21 -1.57 2.32
2000 3 30 2.75 7.8 1.39 4.59
2000 3 31 0.22 4.67 -3.73 0.47
2000 4 1 1.67 10.56 2.48 6.52
2000 4 2 9.38 14.94 -2.53 6.21
2000 4 3 1.8 5.22 0.45 2.84
2000 4 4 2.3 8.65 -0.21 4.22
2000 4 5 0.25 21.06 3.64 12.35
2000 4 6 3.4 9.77 3.61 6.69
2000 4 7 0.2 20.56 -2.3 9.13
2000 4 8 5.43 12.55 -0.36 6.1
2000 4 9 0.77 11.69 1.01 6.35
2000 4 10 0.08 19.32 5.8 12.56
2000 4 11 4.47 31.3 7.4 19.35
2000 4 12 1.58 23.34 8.88 16.11
2000 4 13 8.23 19.3 1.68 10.49
2000 4 14 4.38 12.63 2.51 7.57
2000 4 15 0 14.51 5.1 9.8
