YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 46.54 1.03 -9.81 -4.39 15.82 10.84
2000 2 78.18 3.49 -7.17 -1.84 21.99 10.66
2000 3 63.02 6.56 -3.89 1.33 40.29 10.46
2000 4 116.25 17.03 3.64 10.34 88.66 13.39
2000 5 64.03 22.15 7.08 14.61 136.44 15.07
2000 6 63.44 23.86 11.12 17.49 146.21 12.73
2000 7 100.97 27.98 14.56 21.27 173.56 13.42
2000 8 100.2 27.62 13.53 20.57 161.82 14.09
2000 9 25.97 23.56 9.13 16.34 118.47 14.43
2000 10 78 18.9 5.29 12.1 79.35 13.61
2000 11 135.02 9.73 0.05 4.89 34.34 9.68
2000 12 134.75 3.62 -6.86 -1.62 19.56 10.48
2001 1 72.38 1.54 -10.23 -4.35 16.55 11.77
2001 2 70.55 0.03 -12.4 -6.19 17.28 12.43
2001 3 108.65 5.99 -4.13 0.93 38.79 10.12
2001 4 58.79 13.46 0.38 6.92 76.99 13.08
2001 5 90.35 21.9 8.18 15.04 131.94 13.73
2001 6 67.82 26.72 12.76 19.74 162.86 13.96
2001 7 75.54 28.96 15.79 22.37 176.78 13.17
2001 8 38.31 28.58 13.87 21.22 168.15 14.71
2001 9 242.05 23.73 10.97 17.35 114.71 12.76
2001 10 3.62 18.85 3.29 11.07 81.93 15.56
2001 11 178.64 10.77 1.4 6.09 35.56 9.37
2001 12 103.01 4.57 -6.03 -0.73 20.76 10.6
2002 1 108.55 0.95 -10.41 -4.73 15.79 11.36
2002 2 94.66 1.09 -10.08 -4.5 18.76 11.17
2002 3 150.75 6.82 -3.49 1.66 40.7 10.31
2002 4 106.3 13.44 -0.38 6.53 77.88 13.82
2002 5 39.93 22.75 6.8 14.77 141.1 15.96
2002 6 42.18 25.9 12.55 19.23 157.09 13.35
2002 7 31.48 29.14 13.65 21.39 187.05 15.49
2002 8 143.35 27.01 14.08 20.54 154.92 12.93
2002 9 54.48 25.18 10.97 18.07 123.56 14.22
2002 10 310.07 16.97 6.33 11.65 69.11 10.64
2002 11 54.83 11.79 -1.53 5.13 40.71 13.32
2002 12 126.35 3.25 -6.86 -1.8 19 10.11
2003 1 120.97 -0.47 -10.68 -5.58 14 10.2
2003 2 38.22 2.53 -10.34 -3.91 21.79 12.87
2003 3 143.16 7.19 -3.81 1.69 42.57 10.99
2003 4 32.57 15.15 1.17 8.16 84.3 13.98
2003 5 141.95 19.2 6.73 12.97 118.38 12.47
2003 6 16.13 26.54 11.4 18.97 166.36 15.13
2003 7 48.75 27.3 14.28 20.79 168.64 13.02
2003 8 166.76 26.89 14.16 20.52 153.02 12.73
2003 9 193.97 22.38 11.92 17.15 102.49 10.46
2003 10 138.37 16.78 2.73 9.75 73.52 14.05
