YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 62.09 0.31 -11.18 -5.44 15.02 11.49
2000 2 139.5 2.05 -10.02 -3.99 20.25 12.07
2000 3 126.78 6.25 -4.64 0.81 39.99 10.89
2000 4 90.9 12.92 0.96 6.94 73.67 11.96
2000 5 132.19 19.55 5.46 12.5 123.35 14.09
2000 6 110.14 24.86 11.26 18.06 153.58 13.6
2000 7 9.19 27.48 13.68 20.58 172.85 13.8
2000 8 75.13 26.37 11.87 19.12 157.98 14.5
2000 9 123.37 22.83 8.74 15.79 115.19 14.1
2000 10 38.34 17.85 2.66 10.26 78.65 15.18
2000 11 125.45 8.04 -2.75 2.65 32.68 10.79
2000 12 74.76 2.58 -7.82 -2.62 18.29 10.4
2001 1 40.84 -0.48 -10.98 -5.73 14.01 10.5
2001 2 66.05 0.31 -11.56 -5.62 17.7 11.87
2001 3 41.57 5.33 -6.98 -0.82 38.79 12.31
2001 4 31.31 13.5 -0.18 6.66 77.92 13.68
2001 5 122.63 20.09 5.77 12.93 126.12 14.32
2001 6 63.65 24.95 11.26 18.11 154.29 13.7
2001 7 116.23 27.63 14.68 21.16 169.97 12.95
2001 8 66.98 25.98 12.73 19.35 152 13.26
2001 9 71.37 23.24 8.75 16 117.51 14.49
2001 10 65.68 18.03 3.03 10.53 78.96 15.01
2001 11 29.22 8.19 -2.43 2.88 32.79 10.62
2001 12 107.1 2.72 -7.16 -2.22 18.29 9.88
2002 1 45.83 -0.25 -11.32 -5.78 14.32 11.06
2002 2 34.86 -0.24 -13.04 -6.64 16.84 12.79
2002 3 65.43 5.92 -5.95 -0.01 39.91 11.88
2002 4 81.1 12.33 -0.95 5.69 73.71 13.28
2002 5 222.85 18.87 7.08 12.97 114.62 11.8
2002 6 52.62 24.53 10.02 17.27 155.15 14.51
2002 7 48.57 28.23 13.59 20.91 179.58 14.64
2002 8 220.91 25.62 12.72 19.17 149.18 12.9
2002 9 140.02 21.75 9.39 15.57 107.16 12.36
2002 10 153.46 16.87 3.55 10.21 73.52 13.31
2002 11 88.63 10.06 -1.34 4.36 36.4 11.4
2002 12 41.99 1.54 -8.1 -3.28 16.84 9.64
2003 1 114.62 1.26 -10.87 -4.81 16.22 12.13
2003 2 95.76 1.49 -10.25 -4.38 20.09 11.74
2003 3 45.04 5.88 -6.56 -0.34 40.56 12.44
2003 4 106.86 12.3 0.92 6.61 71.51 11.38
2003 5 74.49 20.08 6.79 13.43 124.06 13.29
2003 6 78.95 25.74 11.06 18.4 161.32 14.68
2003 7 58.4 28.06 14.21 21.14 175.54 13.86
2003 8 77.43 26.46 12.81 19.64 154.77 13.65
2003 9 208.96 20.52 8.33 14.42 102.03 12.19
2003 10 192.3 17.48 3.33 10.4 75.49 14.14
2003 11 85.87 10.79 -1.33 4.73 37.72 12.13
2003 12 121.01 1.08 -9.37 -4.14 16.38 10.45
2004 1 99.75 1.4 -9.56 -4.08 16.28 10.95
2004 2 48.93 1.11 -12.46 -5.67 18.85 13.57
2004 3 58.31 6.34 -5.68 0.33 40.93 12.02
2004 4 114.94 11.59 -0.24 5.68 69.52 11.83
2004 5 89.75 18.38 5.19 11.79 116.54 13.19
2004 6 208.25 25.28 12.51 18.89 152.28 12.77
2004 7 103.77 27.97 14.1 21.03 175.33 13.86
2004 8 24.24 26.52 11.99 19.25 158.7 14.53
2004 9 73.19 22.21 8.94 15.58 111.08 13.27
2004 10 52.07 19.05 4.03 11.54 81.82 15.02
2004 11 55.3 9.62 -2.3 3.66 36.04 11.92
2004 12 101.03 2.17 -8.47 -3.15 17.85 10.65
2005 1 78.85 1.29 -9.68 -4.2 16.15 10.97
2005 2 61.92 1.73 -11.82 -5.04 19.82 13.55
2005 3 73.39 6.54 -5.94 0.3 41.63 12.48
2005 4 89.28 12.83 -0.47 6.18 75.31 13.3
2005 5 86.32 20.49 5.64 13.06 128.96 14.85
2005 6 90.26 24.98 11.34 18.16 154.17 13.63
2005 7 34.8 28.93 14.72 21.82 181.16 14.22
2005 8 29.38 26.83 12.59 19.71 159.04 14.24
2005 9 103.69 21.58 8.82 15.2 107.69 12.76
2005 10 85.04 17.68 4.17 10.93 75.98 13.52
2005 11 102.06 8.55 -2.31 3.12 33.53 10.86
2005 12 181.32 1.07 -9.7 -4.31 16.54 10.77
2006 1 104.25 1.8 -8.4 -3.3 16.6 10.2
2006 2 15.21 1.52 -10.6 -4.54 19.47 12.12
2006 3 85.76 6.15 -6.11 0.02 40.64 12.26
2006 4 65.4 14.91 0.48 7.7 83.38 14.42
2006 5 84.06 20.54 5.58 13.06 129.47 14.97
2006 6 60.9 24.29 10.65 17.47 151.21 13.63
2006 7 55.94 27.02 13.66 20.34 169.07 13.37
2006 8 63.44 25.79 12.1 18.94 152.72 13.68
2006 9 102.75 22.74 9.81 16.28 111.94 12.93
2006 10 201.98 15.79 3.58 9.68 69.08 12.21
2006 11 133.9 8.35 -1.94 3.21 32.79 10.3
2006 12 75.84 1.91 -7.32 -2.7 17.14 9.23
2007 1 81.23 1.67 -8.63 -3.48 16.48 10.31
2007 2 36.13 1.73 -10.74 -4.5 20.52 12.47
2007 3 112.75 5.68 -5.28 0.2 39.25 10.96
2007 4 112.19 13.9 0.75 7.32 79.13 13.16
2007 5 117.52 19.36 4.67 12.01 124.54 14.7
2007 6 74.76 24.72 11.76 18.24 150.89 12.96
2007 7 83.25 27.65 13.51 20.58 174.82 14.14
2007 8 343.8 26.15 14.52 20.33 145.54 11.63
2007 9 68.45 22.07 8.52 15.29 110.44 13.55
2007 10 138.84 17.21 4.11 10.66 73.32 13.1
2007 11 44.54 11.47 -0.66 5.41 38.86 12.13
2007 12 173.8 3.49 -6.03 -1.28 18.92 9.52
2008 1 75.93 -1.17 -12.05 -6.61 13.22 10.88
2008 2 110.28 0.98 -9.7 -4.36 18.54 10.68
2008 3 99.99 6.32 -4.92 0.7 40.4 11.24
2008 4 116.25 13.04 0.01 6.52 75.6 13.03
2008 5 105.55 19.13 5.6 12.37 120.37 13.54
2008 6 146.35 23.77 11.05 17.41 145.78 12.71
2008 7 72.69 27.93 13.91 20.92 175.77 14.02
2008 8 57.93 25.63 12.71 19.17 149.33 12.92
2008 9 88.73 24.42 9.68 17.05 122.22 14.74
2008 10 106.61 17.5 3.85 10.67 75.7 13.66
2008 11 142.07 8.14 -2.52 2.81 32.73 10.65
2008 12 84.86 1.8 -7.7 -2.95 17.1 9.5
2009 1 58.28 1.16 -9.83 -4.34 16 10.99
2009 2 52.43 1.28 -10.14 -4.43 19.06 11.42
2009 3 135.58 6.38 -4.8 0.79 40.49 11.19
2009 4 167.46 12.02 -0.47 5.78 71.73 12.48
2009 5 77.43 20.72 5.67 13.2 130.4 15.05
2009 6 116.9 24.67 11.24 17.96 152.13 13.43
2009 7 38.79 28.32 13.98 21.15 178.83 14.34
2009 8 78.65 26.63 13.64 20.14 153.65 12.99
2009 9 77.64 23.97 9.49 16.73 120.05 14.48
2009 10 98.12 18.38 4.5 11.44 78.36 13.88
2009 11 84.43 9.21 -1.71 3.75 34.64 10.92
2009 12 89.76 1.82 -7.47 -2.83 17.06 9.3
2010 1 72.64 -0.01 -9.97 -4.99 14.49 9.97
2010 2 113.97 0.53 -10.68 -5.08 17.97 11.2
2010 3 85.19 6.07 -6.11 -0.02 40.4 12.18
2010 4 70.24 12.58 0.45 6.52 72.9 12.12
2010 5 130.61 18.36 6.48 12.42 112.99 11.89
2010 6 46.14 25.98 10.27 18.13 165.33 15.71
2010 7 65.95 26.97 13.54 20.25 169.08 13.43
2010 8 105.51 26.79 13.32 20.06 156.08 13.47
2010 9 120.11 22 7.92 14.96 112.28 14.08
2010 10 193.32 15.83 3.83 9.83 68.86 12
2010 11 71.65 9.34 -2.2 3.57 35.32 11.55
2010 12 221 0.59 -10.04 -4.72 15.93 10.63
2011 1 85.14 0.76 -9.43 -4.34 15.4 10.19
2011 2 103.34 1.51 -10.33 -4.41 20.14 11.84
2011 3 98.4 4.9 -5.4 -0.25 37.1 10.3
2011 4 129.46 13.42 1.27 7.34 76.12 12.16
2011 5 99.63 20.59 5.24 12.92 131.15 15.35
2011 6 57.35 25.26 10.27 17.76 160.14 14.99
2011 7 111.85 27.98 13.99 20.99 175.73 13.99
2011 8 133.53 26.52 12.34 19.43 156.89 14.18
2011 9 211.03 21.95 8.55 15.25 109.69 13.4
2011 10 144.47 16.84 3.47 10.16 72.77 13.37
2011 11 105.47 9.38 -0.64 4.37 33.74 10.02
2011 12 70.62 2.31 -7.63 -2.66 17.72 9.94
2012 1 75.81 -1.24 -11.85 -6.55 13.14 10.61
2012 2 22.11 0.46 -13.6 -6.57 17.77 14.07
2012 3 91.23 6.17 -5.82 0.18 40.53 11.99
2012 4 64.18 12.6 0.14 6.37 73.46 12.46
2012 5 128.98 21.22 7.78 14.5 128.41 13.44
2012 6 150.73 24.27 12.95 18.61 142.21 11.31
2012 7 237.88 27.09 14.35 20.72 166.67 12.74
2012 8 65.06 27.53 13.95 20.74 159.59 13.58
2012 9 35.35 22.47 8.27 15.37 114.16 14.19
2012 10 82.6 16.29 2.01 9.15 73.27 14.28
2012 11 135.61 8.77 -2.25 3.26 34 11.01
2012 12 145.2 2.15 -7.47 -2.66 17.54 9.62
2013 1 199.37 1.01 -10.35 -4.67 15.86 11.35
2013 2 56.09 1.98 -9.92 -3.97 20.12 11.89
2013 3 92.33 7.04 -4.6 1.22 42.26 11.64
2013 4 56.83 13.74 -0.43 6.65 79.25 14.17
2013 5 75.65 19.47 5.28 12.38 123.26 14.19
2013 6 51.62 25.97 12.04 19.01 159.49 13.93
2013 7 89.68 27.6 14.12 20.86 172.08 13.48
2013 8 93.69 26.37 13.17 19.77 153.34 13.19
2013 9 121.46 21.19 9.74 15.47 102.83 11.45
2013 10 98.65 16.77 3.11 9.94 73.77 13.67
2013 11 113.9 8.62 -2.02 3.3 33.48 10.64
2013 12 116.54 3.11 -7.05 -1.97 18.85 10.16
2014 1 73.67 0.16 -9.64 -4.74 14.65 9.79
2014 2 62.65 1.74 -10.08 -4.17 19.78 11.82
2014 3 124.33 5.98 -4.92 0.53 39.42 10.9
2014 4 72.11 14.94 -0.58 7.18 84.75 15.52
2014 5 92.51 19.87 5.6 12.73 125.08 14.27
2014 6 84.66 24.64 11.5 18.07 151.02 13.15
2014 7 62.64 27.62 13.35 20.49 175.32 14.26
2014 8 30.3 27.3 12.2 19.75 163.91 15.1
2014 9 121.92 22.27 9.41 15.84 110.2 12.86
2014 10 94.53 16.91 4.39 10.65 72.43 12.52
2014 11 73.83 9.88 -1.22 4.33 35.87 11.1
2014 12 61.4 5.12 -4.71 0.21 21.09 9.83
2015 1 107.24 0.23 -9.98 -4.88 14.8 10.21
2015 2 102.09 2.78 -9.09 -3.16 22.05 11.87
2015 3 71.59 4.46 -5.3 -0.42 35.76 9.76
2015 4 132.39 13.44 0.01 6.73 78.06 13.44
2015 5 107.55 17.33 5.32 11.33 109.99 12.01
2015 6 59.66 26.44 12.45 19.45 162.05 13.99
2015 7 40.36 27.5 13.76 20.63 172.53 13.74
2015 8 57.79 25.98 12.82 19.4 150.97 13.15
2015 9 114.23 19.89 8.51 14.2 97.91 11.38
2015 10 120.45 17.06 3.61 10.34 73.45 13.45
2015 11 112.68 11.08 -1.54 4.77 38.54 12.61
2015 12 145.39 1.96 -8.63 -3.33 17.47 10.59
2016 1 55.26 -0.05 -11.49 -5.77 14.58 11.44
2016 2 131.22 2.66 -7.17 -2.26 20.56 9.83
2016 3 91.62 4.86 -7.19 -1.17 37.59 12.04
2016 4 92.95 13.42 0.37 6.9 76.8 13.04
2016 5 112.9 18.61 5.46 12.03 117.32 13.15
2016 6 69.34 24.62 10.9 17.76 152.98 13.73
2016 7 84.15 27.68 14.42 21.05 171.54 13.26
2016 8 129.28 26.09 12.8 19.44 152.56 13.29
2016 9 97.75 22.35 7.85 15.1 114.46 14.5
2016 10 55.57 18.17 5.14 11.66 76.48 13.03
2016 11 44.55 10.88 -1.69 4.59 38.63 12.58
2016 12 81.12 2.61 -8.58 -2.98 18.52 11.19
2017 1 44.34 -0.48 -11.85 -6.17 14.06 11.37
2017 2 23.92 1.02 -10.13 -4.56 18.66 11.15
2017 3 18.15 5.83 -6.93 -0.55 40.13 12.76
2017 4 23.67 13.17 -1.09 6.04 77.53 14.26
2017 5 43.06 21.1 5.2 13.15 133.85 15.9
2017 6 47.57 25.72 11.37 18.54 159.82 14.34
2017 7 133.25 27.18 15.36 21.27 162.84 11.82
2017 8 90.75 26.32 13.03 19.67 153.48 13.29
2017 9 149.27 23.3 10.04 16.67 114.68 13.26
2017 10 271.95 15.37 3.15 9.26 68.04 12.22
2017 11 40.4 9.12 -3.07 3.03 35.37 12.19
2017 12 170.29 0.15 -9.25 -4.55 15.18 9.41
2018 1 90.75 0.25 -10.98 -5.37 14.93 11.23
2018 2 127.91 2.07 -10.36 -4.15 20.32 12.44
2018 3 95.52 6.13 -4.25 0.94 39.32 10.38
2018 4 48 13.8 0.58 7.19 78.23 13.22
2018 5 70.41 20.55 4.94 12.74 130.9 15.62
2018 6 108.8 24.54 12.17 18.35 147.6 12.36
2018 7 88.25 27.39 14.39 20.89 169.15 13
2018 8 117.24 26.15 11.85 19 156.35 14.3
2018 9 36.51 23.11 9.23 16.17 115.58 13.87
2018 10 203.53 16.05 3.15 9.6 70.78 12.89
2018 11 46.77 9.59 -2.49 3.55 36.09 12.08
2018 12 116.77 2.36 -8.3 -2.97 18.08 10.66
2019 1 31.11 0.02 -11.26 -5.62 14.66 11.28
2019 2 185.16 1.87 -8.27 -3.2 20.33 10.14
2019 3 81.55 4.37 -6.66 -1.15 36.43 11.03
2019 4 32.85 16.29 1.01 8.65 89.8 15.29
2019 5 60.42 19.26 5 12.13 123.15 14.25
2019 6 50.48 25.31 9.84 17.57 161.82 15.47
2019 7 115.16 28.36 13.86 21.11 179.47 14.5
2019 8 106.5 26.05 13.05 19.55 150.71 13
2019 9 113.16 22.27 7.64 14.96 113.63 14.63
2019 10 197.99 15.6 4.54 10.06 65.96 11.06
2019 11 204.58 10.91 0.5 5.7 36.44 10.4
2019 12 125.83 1.64 -9.05 -3.7 17.11 10.69
2020 1 71.08 -1.25 -11.11 -6.18 13.07 9.85
2020 2 75.9 2.1 -9.01 -3.45 20.18 11.11
2020 3 138.1 4.86 -5.73 -0.44 36.81 10.6
2020 4 81.1 12.02 -0.58 5.72 71.91 12.61
2020 5 130.45 19.82 5.44 12.63 125.15 14.38
2020 6 98.4 25.29 11.61 18.45 155.69 13.68
2020 7 64.06 27.81 14.32 21.06 173.08 13.49
2020 8 176.33 26.07 13.37 19.72 150.19 12.69
2020 9 161.22 22.24 10.5 16.37 106.96 11.74
2020 10 45.48 17.4 3 10.2 76.45 14.4
2020 11 33.64 8.52 -3.31 2.6 34.13 11.83
2020 12 44.19 1.77 -7.94 -3.08 17.13 9.71
2021 1 51.78 1.49 -9.61 -4.06 16.4 11.09
2021 2 52.58 0.62 -10.97 -5.18 18.13 11.58
2021 3 98.27 5.84 -5.21 0.32 39.23 11.05
2021 4 138.01 12.82 -0.09 6.36 74.77 12.91
2021 5 177.23 20.41 7.25 13.83 124.47 13.17
2021 6 173.38 24.8 11.8 18.3 151.14 13
2021 7 58.42 27.6 13.89 20.75 173.07 13.71
2021 8 195.37 26.48 12.96 19.72 155 13.52
2021 9 63.22 23.21 8.93 16.07 116.89 14.27
2021 10 149.08 16.03 4.05 10.04 69.31 11.97
2021 11 115.76 8.7 -1.9 3.4 33.59 10.61
2021 12 61.45 3 -7.29 -2.15 18.76 10.29
2022 1 26.43 -0.62 -12.23 -6.42 13.9 11.62
2022 2 44.96 2.1 -11.31 -4.6 20.39 13.41
2022 3 137.41 5.94 -4.72 0.61 39.14 10.66
2022 4 165.46 12.29 0.88 6.59 70.92 11.41
2022 5 34.42 20.18 4.93 12.56 128.56 15.25
2022 6 68.18 24.48 11.26 17.87 150.57 13.22
2022 7 74.91 27.26 14.17 20.72 168.96 13.09
2022 8 37.67 25.89 11.67 18.78 154.94 14.21
2022 9 93.31 22.13 9.03 15.58 110.38 13.11
2022 10 135.83 16.69 3.39 10.04 73.04 13.3
2022 11 276.73 9.33 -0.74 4.3 34.12 10.08
2022 12 105.73 1.9 -7.48 -2.79 17.18 9.38
2023 1 74.57 0.96 -10.57 -4.8 15.82 11.54
2023 2 46.94 -0.05 -12.52 -6.29 17.77 12.47
2023 3 78.43 5.01 -5.97 -0.48 37.8 10.98
2023 4 54.03 13.35 0.6 6.97 76.8 12.75
2023 5 51.7 20.67 5.95 13.31 130.07 14.72
2023 6 160.69 24.4 12.16 18.28 146.81 12.24
2023 7 83.92 26.15 13.14 19.65 163.64 13.02
2023 8 77.15 26.05 13.26 19.65 149.87 12.79
2023 9 156.23 22.14 10.03 16.08 106.88 12.1
2023 10 93.82 16.43 3.22 9.82 71.45 13.21
2023 11 80.61 8.37 -2.94 2.72 33.16 11.3
2023 12 148.57 2.79 -6.7 -1.95 18.12 9.5
2024 1 59.65 1.32 -9.37 -4.03 16.14 10.69
