Year,Flow
1949,16.710940447161
1950,21.6468001519907
1951,43.4374457304832
1952,19.0087125291301
1953,15.0439766631025
1954,56.6166355560356
1955,114.45943123057
1956,28.3523289089042
1957,12.3808686180473
1958,33.601988970766
1959,56.3035063531373
1960,43.9117930355702
1961,13.3263576446667
1962,27.79652776891
1963,18.4536119634079
1964,7.56816810239932
1965,21.2338858144942
1966,33.5589402183294
1967,17.9018742671398
1968,28.2292381743338
1969,36.7747332033948
1970,17.9819154990759
1971,30.7707086112533
1972,36.2237331247679
1973,15.0395803487716
1974,37.0664515406747
1975,80.3161974373957
1976,25.3155191912803
1977,87.3814795841883
1978,11.4011826806561
1979,50.0199561897558
1980,12.9603440186305
1981,23.0161994606914
1982,12.7827154582673
1983,35.6880504345456
1984,12.4300924857262
1985,42.7628595791807
1986,22.1259077933035
1987,56.4068538791496
1988,32.0810175684224
1989,68.668121067026
1990,44.4317091310328
1991,67.6763694590827
1992,27.7003244683224
1993,28.0035061065843
1994,25.1681938399722
1995,79.1604449149773
1996,60.38366663519
1997,34.8919436444631
1998,18.5218769006294
1999,81.9361632073936
2000,30.4631484189293
2001,14.6018373066955
2002,32.9869527097177
2003,87.5329768741303
2004,46.5680571485147
2005,109.9071401644
2006,46.771235565946
2007,19.1850550274423
2008,55.8381123887272
2009,30.0550438241879
2010,36.7654086419822
