Year,Flow
2000,15.502221710275
2001,28.4131450172629
2002,41.627374058511
2003,64.4175030059515
2004,10.6955756696831
2005,39.0634733822863
2006,35.5524478676411
2007,44.8993331903499
2008,18.0952813491389
2009,32.3636208181758
2010,35.5653084164357
2011,11.106853419082
2012,24.5121773378562
2013,27.7414285603497
2014,16.9287554735523
2015,29.1517405837235
2016,58.0215367871328
2017,38.1905643407422
2018,13.2046117639225
2019,33.0133556349289
2020,17.2585738204528
2021,47.9734944323598
2022,43.0846608408044
2023,26.1917404715585
2024,21.7125111257199
2025,11.4910485049466
2026,63.9336843559646
2027,21.8142476201918
2028,23.7565287397243
2029,24.0884461346417
2030,20.7391792463198
2031,28.6535574839405
2032,23.8210609628781
2033,33.0895569607971
2034,47.3921611438622
2035,11.0239080660286
2036,12.4061949408695
2037,23.8368055909119
2038,62.2751817630173
2039,19.731953749172
2040,17.8662987029969
2041,19.3481506758665
2042,13.4812496806937
2043,51.5132953128809
2044,43.2232298297865
2045,18.0631172731837
2046,24.4801065385142
2047,47.081787948912
2048,97.3246835965932
2049,18.6214403833487
2050,82.1908709611923
2051,27.7143673538441
2052,32.6207862405273
2053,24.8541895562535
2054,41.4670260374528
2055,14.7473044393545
2056,29.2506407495543
2057,19.185922287453
2058,40.3787261176702
2059,33.5257392192273
2060,19.4516919613368
2061,9.26239142132237
2062,77.6711688534004
2063,12.1554667870367
2064,14.4966280066525
2065,20.4117018627488
2066,28.93727923563
2067,39.2137400578614
2068,16.2946997804498
2069,33.7052800276337
2070,28.1755367430432
2071,78.3901777153271
2072,23.3361440998575
2073,11.5376935812536
2074,17.8566188864154
2075,17.326369039192
2076,18.1548101329018
2077,15.7361085931336
2078,23.3082781170782
2079,15.1266988615153
2080,68.8048503205654
