YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 56.35 0.48 -11.23 -5.38 15.24 11.71
2000 2 62.28 0.14 -11.32 -5.59 17.44 11.46
2000 3 64.33 5.45 -5.75 -0.15 38.47 11.2
2000 4 126.34 12.12 -0.08 6.02 71.65 12.2
2000 5 65.77 19.12 5.32 12.22 120.95 13.8
2000 6 77.72 26.27 11.61 18.94 163.29 14.65
2000 7 120.34 27.29 15.01 21.15 165.51 12.28
2000 8 90.02 26.13 12.12 19.12 155.32 14.02
2000 9 178.15 22.52 9.45 15.99 111.58 13.07
2000 10 111.51 16.69 2.92 9.8 73.67 13.76
2000 11 163.71 10.21 0.28 5.24 35.32 9.93
2000 12 84.88 1.01 -10.1 -4.55 16.5 11.11
2001 1 131.04 1.74 -9.21 -3.74 16.68 10.95
2001 2 125.44 1.87 -10.24 -4.19 19.99 12.11
2001 3 127.71 5.83 -5.68 0.07 39.49 11.51
2001 4 59.63 15.07 1.01 8.04 83.45 14.06
2001 5 97.5 19.34 5.99 12.67 120.72 13.35
2001 6 101.68 25.39 11.64 18.52 156.35 13.75
2001 7 146.78 27.09 14.69 20.89 165.16 12.39
2001 8 234.8 26.06 12.82 19.44 152.27 13.24
2001 9 76.76 21.72 8.11 14.92 110.26 13.61
2001 10 192.96 15.23 4.03 9.63 66.05 11.2
2001 11 93.02 8.96 -1.87 3.55 34.18 10.83
2001 12 13.32 -0.72 -11.27 -6 14.32 10.55
2002 1 53.64 -1.35 -11.57 -6.46 12.99 10.22
2002 2 45.6 -0.27 -11.15 -5.71 16.82 10.88
2002 3 39.26 6.2 -6.22 -0.01 40.84 12.42
2002 4 39.1 13.26 0.31 6.78 76.17 12.95
2002 5 61.81 20.36 5.29 12.83 128.89 15.06
2002 6 93.2 26.32 12.34 19.33 161.17 13.97
2002 7 30.13 28.14 13.11 20.62 180.6 15.03
2002 8 141.39 26.07 13.61 19.84 149.26 12.46
2002 9 115.37 23.59 9.24 16.41 118.39 14.35
2002 10 44.65 16.18 2.46 9.32 72.28 13.72
2002 11 101.19 8.84 -1.91 3.47 33.92 10.75
2002 12 127.59 1.83 -6.76 -2.47 16.78 8.58
2003 1 130.37 -1.43 -12.69 -7.06 12.92 11.26
2003 2 83.03 -0.1 -11.29 -5.7 17.69 11.19
2003 3 84.68 6.73 -5.52 0.6 42.44 12.26
2003 4 84.42 13.06 0.52 6.79 75.62 12.54
2003 5 102.12 20.3 5.68 12.99 128.3 14.62
2003 6 88.58 25.14 11.19 18.16 156.24 13.95
2003 7 92.4 27.72 14.55 21.14 171.1 13.16
2003 8 197.43 25.93 12.11 19.02 153.22 13.83
2003 9 25.88 22.61 8 15.3 114.73 14.61
2003 10 111.65 18.08 5.18 11.63 75.22 12.9
2003 11 115.15 10.59 -0.87 4.86 36.88 11.46
2003 12 92.15 1.81 -8.29 -3.24 17.18 10.1
2004 1 177.8 0.42 -10.93 -5.26 15.15 11.35
2004 2 32.59 -0.01 -11.6 -5.81 17.23 11.59
2004 3 103.49 5.82 -4.72 0.55 38.79 10.54
2004 4 152.77 11.82 -0.62 5.6 71.06 12.44
2004 5 117.95 19.26 5.12 12.19 122.29 14.14
