YEAR MONTH DAY PRCP TMAX TMIN TAVG
2000 1 1 0 30 20 25
2000 1 2 0.08 2.75 -6.19 -1.72
2000 1 3 0 1.74 -6.8 -2.53
2000 1 4 0 -12.19 -21.07 -16.63
2000 1 5 2.12 -6.73 -20.3 -13.52
2000 1 6 0 -7.66 -21.13 -14.39
2000 1 7 0.4 2.95 -4.17 -0.61
2000 1 8 0.3 0.76 -12.15 -5.7
2000 1 9 0.2 3.39 -7.34 -1.97
2000 1 10 0.08 1.11 -12.72 -5.81
2000 1 11 0 2.09 -6.77 -2.34
2000 1 12 0 5.51 -3.23 1.14
2000 1 13 0.55 -0.6 -7.89 -4.25
2000 1 14 2.67 -14.37 -22.73 -18.55
2000 1 15 0.9 -13.84 -18.92 -16.38
2000 1 16 0 -9.81 -22.42 -16.12
2000 1 17 14.62 0.64 -14.97 -7.17
2000 1 18 10.5 1.1 -0.91 0.1
2000 1 19 0 0.9 -13.46 -6.28
2000 1 20 4.5 -8.82 -17.66 -13.24
2000 1 21 0.38 -1.37 -16.82 -9.1
2000 1 22 0.22 0.45 -9.37 -4.46
2000 1 23 0.32 7.15 -5.64 0.76
2000 1 24 0 3.97 -3.65 0.16
2000 1 25 7.7 8.92 0.3 4.61
2000 1 26 0 2.27 -0.6 0.84
2000 1 27 57.88 2.16 -7.54 -2.69
2000 1 28 0 15.89 -0.71 7.59
2000 1 29 0 -2.29 -12.52 -7.4
2000 1 30 0 -2.38 -10.09 -6.23
2000 1 31 0 -2.18 -21.49 -11.83
2000 2 1 0 -6.41 -17.11 -11.76
2000 2 2 0 -6.5 -26.48 -16.49
2000 2 3 0 -3.61 -22.28 -12.95
2000 2 4 0 4.73 -13.43 -4.35
2000 2 5 0 -8.4 -12.12 -10.26
2000 2 6 0 -1.88 -17.9 -9.89
2000 2 7 0 -3.94 -17.29 -10.62
2000 2 8 0 6.02 -2.85 1.58
2000 2 9 0 3.06 -11.19 -4.06
2000 2 10 11.95 -6.28 -15.81 -11.04
2000 2 11 0.32 -7.12 -26.8 -16.96
2000 2 12 10.38 4.86 -3.56 0.65
2000 2 13 0 1.97 -13.27 -5.65
2000 2 14 5.88 4.94 -6.87 -0.96
2000 2 15 12.65 -6.15 -14.92 -10.54
2000 2 16 0 -1.37 -9.49 -5.43
2000 2 17 0.55 6.5 -2.5 2
2000 2 18 0 0.7 -17.45 -8.38
2000 2 19 0 0.69 -11.87 -5.59
2000 2 20 0 3.69 -6.24 -1.28
2000 2 21 0 -0.68 -11.09 -5.88
2000 2 22 1.02 2.41 -4.88 -1.23
2000 2 23 0 -4.29 -15.81 -10.05
2000 2 24 10.48 11.71 -2.99 4.36
2000 2 25 0 2.58 -0.8 0.89
2000 2 26 0 0.57 -8.5 -3.96
2000 2 27 0 1.83 -10.08 -4.12
2000 2 28 0 2.23 -14.64 -6.21
2000 2 29 0.12 9.95 -3.08 3.43
2000 3 1 0 1.26 -12.21 -5.48
2000 3 2 0.4 9.96 -2.37 3.8
2000 3 3 0.03 13.66 -3.61 5.03
2000 3 4 1.25 8.72 -4.47 2.13
2000 3 5 0 4.57 -3.68 0.45
2000 3 6 0 2.85 -10.85 -4
2000 3 7 0 10.46 -3.61 3.43
2000 3 8 0 0.93 -11.64 -5.36
2000 3 9 0 8.23 -4.48 1.88
2000 3 10 0.25 10.26 -2.46 3.9
2000 3 11 0.17 6.75 -1.61 2.57
2000 3 12 0.3 1.87 -5.62 -1.88
2000 3 13 1.95 9.27 -5.85 1.71
2000 3 14 0.1 7.17 -1.94 2.62
2000 3 15 2.58 2.96 -2.46 0.25
2000 3 16 0.22 2.38 -6.22 -1.92
2000 3 17 0 9.52 -1.25 4.13
2000 3 18 0 7.03 -6.19 0.42
2000 3 19 0 5.9 -1.93 1.99
2000 3 20 0 4.15 -5.47 -0.66
2000 3 21 0 6.59 -3.29 1.65
2000 3 22 0 4.24 -3.16 0.54
2000 3 23 0 2.32 -17.46 -7.57
2000 3 24 0 7.97 -1.61 3.18
2000 3 25 0 7.04 -10.81 -1.89
2000 3 26 0 7.26 -3.99 1.63
2000 3 27 0 10.65 -3.86 3.4
