YEAR,MONTH,PRCP,TMAX,TMIN,TAVG,ET,DIF
1949,1,128.4,2.81,-5.99,-1.59,17.24,8.80258064516129
1949,2,77.72,3.23,-8.53,-2.65,21.92,11.7507142857143
1949,3,41.06,7.48,-4.74,1.37,43.63,12.2164516129032
1949,4,98.35,14.99,1.2,8.1,82.81,13.7873333333333
1949,5,97.46,21.28,6,13.64,133.29,15.2812903225806
1949,6,43.58,28,12.82,20.41,172.88,15.1806666666667
1949,7,80.49,29.71,15.92,22.82,182.92,13.7948387096774
1949,8,91.07,28.1,13.47,20.79,165.82,14.6290322580645
1949,9,94.57,20.91,7.97,14.44,105.95,12.943
1949,10,71.05,19.48,4.99,12.23,82.26,14.4938709677419
1949,11,46.86,8.3,-2.39,2.96,33,10.683
1949,12,64.32,3.22,-7.7,-2.24,19.21,10.9196774193548
1950,1,127.38,2.66,-6.7,-2.02,17.31,9.3641935483871
1950,2,107.08,-0.46,-10.53,-5.49,16.48,10.0660714285714
1950,3,83.89,3.77,-8.34,-2.29,35.17,12.1158064516129
1950,4,93.02,12.05,-0.34,5.86,71.67,12.3813333333333
1950,5,97.41,19.71,6.05,12.88,122.99,13.6612903225806
1950,6,84.65,25.55,10.43,17.99,161.6,15.1196666666667
1950,7,70.58,27.19,13.21,20.2,172.3,13.9812903225806
1950,8,79.77,25.77,12.66,19.21,150.55,13.1077419354839
1950,9,47.82,20.12,7.53,13.83,102.53,12.5946666666667
1950,10,56.48,17.94,3.92,10.93,77.4,14.02
1950,11,167.05,10.47,-0.49,4.99,36.69,10.9546666666667
1950,12,133.32,2.37,-7.27,-2.45,17.8,9.64225806451613
1951,1,91.83,1.55,-8.78,-3.62,16.34,10.331935483871
1951,2,114.58,2.93,-7.72,-2.39,21.97,10.6435714285714
1951,3,151.09,6.27,-3.23,1.52,39.21,9.49322580645161
1951,4,94.87,13.99,1.58,7.78,78.24,12.4036666666667
1951,5,80.76,21.5,5.87,13.69,135.66,15.6341935483871
1951,6,109.04,24,11.17,17.58,147.43,12.8353333333333
1951,7,74.89,27.35,14.28,20.82,169.12,13.0748387096774
1951,8,105.9,25.33,12.58,18.96,146.82,12.741935483871
1951,9,88.33,22.03,8.43,15.23,110.43,13.5953333333333
1951,10,138.16,17.18,4.77,10.97,72.17,12.4167741935484
1951,11,141.94,6.53,-4.28,1.13,29.92,10.8106666666667
1951,12,135.24,2.38,-8.46,-3.04,18.03,10.8374193548387
1952,1,114.68,1.52,-8.08,-3.28,16.12,9.59838709677419
1952,2,73.47,2.42,-8.21,-2.89,20.5,10.6206896551724
1952,3,86.47,5.42,-4.57,0.43,37.52,9.99451612903226
1952,4,111.29,15.33,2.84,9.08,81.81,12.491
1952,5,142.96,18.56,4.96,11.76,118.22,13.6006451612903
1952,6,122.67,26.08,12.24,19.16,159.64,13.84
1952,7,101.69,29.44,15.11,22.28,183.95,14.3303225806452
1952,8,99.42,26.27,12.48,19.37,155.09,13.7903225806452
1952,9,110.7,23.11,8.75,15.93,116.76,14.361
1952,10,39.22,15.4,0.95,8.17,71.03,14.4516129032258
1952,11,63.19,8.54,-1.41,3.56,32.78,9.95133333333333
1952,12,115.68,3.42,-5.81,-1.19,18.84,9.22548387096774
1953,1,166.86,2.32,-7.36,-2.52,17.04,9.67709677419355
1953,2,70.42,3.49,-6.81,-1.66,21.86,10.3014285714286
1953,3,228.42,6.65,-3.2,1.73,39.91,9.85032258064516
1953,4,145.49,12.63,2.27,7.45,69.98,10.3596666666667
1953,5,143.41,20.61,7.87,14.24,124.01,12.7396774193548
1953,6,63.84,27.19,10.78,18.98,173.01,16.408
1953,7,46.42,27.87,13.56,20.71,176.66,14.3096774193548
1953,8,57.29,27.12,11.74,19.43,164.02,15.3748387096774
1953,9,51.49,23.57,8.19,15.88,120.69,15.386
1953,10,123.9,18.02,2.82,10.42,79.14,15.1945161290323
1953,11,60.34,11.45,-1.75,4.85,40.03,13.2006666666667
1953,12,115.72,5.27,-5.19,0.04,21.56,10.4648387096774
1954,1,68.39,-1.96,-12.05,-7.01,12.29,10.0967741935484
1954,2,55.65,4.35,-6.22,-0.93,23.14,10.5689285714286
1954,3,105.86,6.68,-4.53,1.08,41.16,11.2112903225806
1954,4,106.85,14.24,1.29,7.77,79.21,12.947
1954,5,146.62,17.75,5.86,11.8,110.71,11.8909677419355
1954,6,81.46,24.32,11.65,17.99,147.87,12.6646666666667
1954,7,79.27,26.38,13.18,19.78,165.53,13.1954838709677
1954,8,122.78,24.32,11.68,18,143.05,12.6474193548387
1954,9,185,19.72,8.71,14.22,97.04,11.0083333333333
1954,10,63.9,18.25,5.25,11.75,76.66,13.0048387096774
1954,11,159.97,8.42,-1.8,3.31,32.83,10.2236666666667
1954,12,107.13,1.55,-6.82,-2.63,16.39,8.37
1955,1,21.56,-0.82,-9.96,-5.39,13.45,9.14290322580645
1955,2,92.75,1.48,-8.86,-3.69,19.82,10.3310714285714
1955,3,108.09,4.78,-4.42,0.18,35.92,9.19870967741936
1955,4,131.61,13.6,2.26,7.93,75.24,11.3403333333333
1955,5,61.06,22.76,7.33,15.04,140.57,15.4261290322581
1955,6,91.71,23.77,11.39,17.58,144.8,12.381
1955,7,52.69,30.03,15.88,22.95,185.65,14.1461290322581
1955,8,357.3,27.93,15.17,21.55,157.3,12.7612903225806
1955,9,87.9,21.57,7.78,14.68,109.36,13.7916666666667
1955,10,345.24,15.62,3.9,9.76,67.14,11.7135483870968
1955,11,125.86,6.6,-1.69,2.46,28.03,8.28366666666667
1955,12,24.91,-1.76,-11.19,-6.48,12.9,9.43064516129032
1956,1,65.51,0.04,-7.36,-3.66,13.78,7.40193548387097
1956,2,102.41,1.11,-7.98,-3.44,18.27,9.08620689655172
1956,3,127.18,2.2,-7.64,-2.72,30.81,9.84709677419355
1956,4,102.14,9.75,-1.27,4.24,63.01,11.0243333333333
1956,5,47.76,17.82,3.07,10.44,117.64,14.7516129032258
1956,6,56.87,25.49,11.4,18.45,157.99,14.0913333333333
1956,7,94.49,25.12,12.79,18.95,156.5,12.3325806451613
1956,8,49.26,26.03,12.14,19.09,154.49,13.8961290322581
1956,9,168.82,18.96,6.74,12.85,97.86,12.2153333333333
1956,10,48.74,16.43,0.99,8.71,74.93,15.4358064516129
1956,11,82.03,9.22,-2.72,3.25,35.39,11.9396666666667
1956,12,125.61,2.64,-5.9,-1.63,17.66,8.54806451612903
1957,1,41.94,-2.6,-15.23,-8.91,11.32,12.6329032258065
1957,2,31.85,3.22,-7.88,-2.33,21.75,11.0964285714286
1957,3,40.03,6.99,-4.25,1.37,41.84,11.2335483870968
1957,4,65.29,15.08,1.56,8.32,82.69,13.5176666666667
1957,5,103.38,20.17,5.69,12.93,126.8,14.4745161290323
1957,6,89.75,27.14,12.99,20.06,165.34,14.1433333333333
1957,7,46.08,27.35,12.86,20.1,174.92,14.4858064516129
1957,8,41.34,25.41,10.01,17.71,156.57,15.3974193548387
1957,9,43.68,22.93,8.04,15.48,117.34,14.8946666666667
1957,10,53.33,15.52,1.9,8.71,70.37,13.6135483870968
1957,11,133.59,9.83,-0.77,4.53,35.36,10.598
1957,12,154.2,4.76,-4.01,0.37,20.11,8.7741935483871
1958,1,136.15,-0.75,-9.77,-5.26,13.49,9.02096774193548
1958,2,79.27,-2.75,-12.59,-7.67,13.41,9.84392857142857
1958,3,65.63,5.5,-2.16,1.67,35.11,7.66774193548387
1958,4,119.46,13.53,1.62,7.57,75.39,11.9086666666667
1958,5,70.89,17.05,4.68,10.86,109.33,12.37
1958,6,43.2,21.73,8.85,15.29,137.88,12.8793333333333
1958,7,126.64,25.78,14.85,20.31,152.81,10.9338709677419
1958,8,96.99,25.73,12.65,19.19,150.27,13.0741935483871
1958,9,118.9,21.08,8.57,14.83,105.43,12.5103333333333
1958,10,85.89,14.23,1.9,8.06,65.34,12.3303225806452
1958,11,99.82,8.08,-1.09,3.49,31.37,9.17033333333333
1958,12,45.95,-2.53,-12.91,-7.72,12.13,10.381935483871
1959,1,99.26,-1.12,-11.45,-6.28,13.27,10.3316129032258
1959,2,58.43,-0.57,-12.9,-6.74,16.98,12.3353571428571
1959,3,110.15,5.31,-5.97,-0.33,38.66,11.28
1959,4,95.74,13.96,1.25,7.61,78.65,12.7133333333333
1959,5,28.65,21.85,7.09,14.47,135.09,14.7603225806452
1959,6,95.17,22.83,12,17.42,134.79,10.8283333333333
1959,7,126.75,27.21,15.31,21.26,163.25,11.9064516129032
1959,8,132.9,26.96,14.68,20.82,151.48,12.2864516129032
1959,9,38.72,23.76,10.29,17.02,115.87,13.465
1959,10,226.98,15.2,4.63,9.91,64.11,10.5635483870968
1959,11,125,7.72,-1.74,2.99,30.75,9.46233333333333
1959,12,110.74,2.15,-5.56,-1.71,16.59,7.71322580645161
1960,1,76.13,-0.11,-9.87,-4.99,14.34,9.76064516129032
1960,2,118.03,2.32,-6.73,-2.21,19.79,9.04896551724138
1960,3,72.98,1.34,-8.51,-3.59,29.05,9.84903225806452
1960,4,119.63,13.98,2.12,8.05,76.66,11.8576666666667
1960,5,95.72,20.39,7.68,14.04,123.12,12.7190322580645
1960,6,88.94,24.02,11.11,17.57,147.54,12.9093333333333
1960,7,158.41,25.62,12.7,19.16,161.06,12.92
1960,8,75.75,25.46,13.36,19.41,145.46,12.1045161290323
1960,9,199.04,21.44,8.94,15.19,106.53,12.4963333333333
1960,10,74.65,15.17,1.85,8.51,69.07,13.3206451612903
1960,11,57.64,10.05,-1.12,4.46,36.19,11.1646666666667
1960,12,76.53,-0.75,-13.66,-7.2,14.22,12.91
1961,1,71.12,-3.54,-18.16,-10.85,9.52,14.6125806451613
1961,2,82.88,1.83,-12.18,-5.17,19.94,14.0057142857143
1961,3,85.95,5.06,-5.42,-0.18,37.15,10.4841935483871
1961,4,147.56,9.92,0.23,5.07,61.31,9.68966666666667
1961,5,83.52,17.14,4.92,11.03,109.28,12.2167741935484
1961,6,92.35,24.59,11.09,17.84,152.05,13.502
1961,7,86.83,26.58,14,20.29,163.78,12.5770967741935
1961,8,62.18,25.63,13.15,19.39,147.61,12.48
1961,9,57.11,25.57,11.86,18.72,123.53,13.7143333333333
1961,10,50.91,17.35,3.71,10.53,75.26,13.6390322580645
1961,11,99.32,8.28,-1.29,3.5,32.03,9.56233333333333
1961,12,75.95,1.01,-8.1,-3.55,16.07,9.10709677419355
1962,1,78.45,-0.27,-12.25,-6.26,14.31,11.9741935483871
1962,2,111.79,-1.36,-13.21,-7.28,15.28,11.8521428571429
1962,3,58.45,6.03,-5.42,0.3,39.88,11.4445161290323
1962,4,75.6,13.7,-0.29,6.7,78.93,13.9933333333333
1962,5,64.24,19.41,5.19,12.3,123.1,14.2203225806452
1962,6,44.92,24.95,11.12,18.04,154.75,13.8313333333333
1962,7,44.57,25.71,11.56,18.64,166.2,14.1503225806452
1962,8,82.79,24.92,12.05,18.48,146.25,12.8712903225806
1962,9,109.46,20.41,6.16,13.28,107.21,14.254
1962,10,121.32,14.46,2.17,8.31,65.87,12.291935483871
1962,11,66.69,7.01,-4.46,1.27,31.42,11.47
1962,12,99.49,-0.24,-12.72,-6.48,14.94,12.4806451612903
1963,1,76.19,-1.27,-13.28,-7.27,13.07,12.0070967741935
1963,2,70.59,-1.72,-16.42,-9.07,14.63,14.7046428571429
1963,3,84.7,5.74,-6.02,-0.14,39.91,11.7674193548387
1963,4,51.73,13.33,-1.42,5.96,79.22,14.7483333333333
1963,5,58.77,19.84,4.67,12.26,127.59,15.1748387096774
1963,6,97.04,24.82,11.31,18.06,153.28,13.504
1963,7,43.55,27.48,14.61,21.05,168.8,12.8703225806452
1963,8,70.47,24.53,10.85,17.69,146.9,13.6803225806452
1963,9,87.3,20.38,5.56,12.97,107.39,14.8156666666667
1963,10,17.63,20.57,2.95,11.76,88.33,17.6229032258064
1963,11,159.59,10.04,1.41,5.72,33.22,8.63166666666667
1963,12,72.34,-2.41,-12.1,-7.26,12.18,9.68903225806451
1964,1,139.15,0.92,-10.79,-4.94,15.77,11.7054838709677
1964,2,64.48,0.63,-12.85,-6.11,18.12,13.4775862068966
1964,3,76.41,6.48,-4.78,0.85,40.74,11.2554838709677
1964,4,77.85,12.07,-0.56,5.76,72.1,12.6366666666667
1964,5,30.83,22.55,6.99,14.77,139.33,15.5622580645161
1964,6,43.03,24.39,10.85,17.62,151.33,13.539
1964,7,83.71,27.26,15.67,21.46,162.09,11.5922580645161
1964,8,86.48,23.48,10.57,17.02,140.57,12.9103225806452
1964,9,25.8,21.9,8.16,15.03,111.15,13.7353333333333
1964,10,37.55,15.85,1.87,8.86,71.72,13.9806451612903
1964,11,63.44,10.67,-1.28,4.7,37.83,11.9506666666667
1964,12,97.71,0.66,-8.4,-3.87,15.66,9.05290322580645
