YEAR MONTH DAY PRCP TMAX TMIN TAVG
2000 1 1 0 30 20 25
2000 1 2 0 1.81 -8.14 -3.17
2000 1 3 0 4.85 -8.35 -1.75
2000 1 4 6.18 -2.11 -12.73 -7.42
2000 1 5 0 -0.34 -7.74 -4.04
2000 1 6 0.65 0.33 -15.02 -7.34
2000 1 7 5.53 -4.78 -19.79 -12.29
2000 1 8 0 -0.34 -7.74 -4.04
2000 1 9 0.65 -0.55 -10.31 -5.43
2000 1 10 4.05 0.51 -9.24 -4.37
2000 1 11 14.1 -4.25 -20.42 -12.34
2000 1 12 2.33 -2.36 -12.3 -7.33
2000 1 13 0 -5.73 -23.04 -14.38
2000 1 14 2.22 3.46 -1.59 0.94
2000 1 15 0 -0.41 -16.51 -8.46
2000 1 16 19.6 -9.5 -15.22 -12.36
2000 1 17 0 -9.78 -15.56 -12.67
2000 1 18 0.82 -14.55 -29.36 -21.95
2000 1 19 0 -1.67 -8.05 -4.86
2000 1 20 0 -5.8 -19.62 -12.71
2000 1 21 0 -9.26 -24.58 -16.92
2000 1 22 9.4 1.19 -7.27 -3.04
2000 1 23 0.35 3.62 -9.18 -2.78
2000 1 24 28.58 3.59 -3.41 0.09
2000 1 25 0.12 7.02 -9.47 -1.23
2000 1 26 3.5 -8.15 -20.18 -14.16
2000 1 27 0 -4.54 -14.59 -9.56
2000 1 28 0 1.58 -7.1 -2.76
2000 1 29 2.53 -9.96 -23.72 -16.84
2000 1 30 0.6 -8.27 -19.47 -13.87
2000 1 31 0 -2.61 -15.19 -8.9
2000 2 1 0.43 8.2 -8 0.1
2000 2 2 0.12 2.47 -20.3 -8.92
2000 2 3 0 2.46 -15.47 -6.51
2000 2 4 0 0.04 -10.51 -5.24
2000 2 5 0 7.22 -3.44 1.89
2000 2 6 2.78 7.19 -5.95 0.62
2000 2 7 0 -5.47 -23.79 -14.63
2000 2 8 0 -0.54 -12.56 -6.55
2000 2 9 0 -0.73 -5.78 -3.25
2000 2 10 11.95 -6.28 -15.81 -11.04
2000 2 11 0.32 -7.12 -26.8 -16.96
2000 2 12 0.68 2.57 -11.23 -4.33
2000 2 13 0 -0.07 -17.28 -8.68
2000 2 14 5.88 1 -9.03 -4.01
2000 2 15 6.22 -2.35 -10.23 -6.29
2000 2 16 0.93 -1.81 -9.77 -5.79
2000 2 17 9.07 10.95 -3.32 3.81
2000 2 18 0.32 1.74 -1.64 0.05
2000 2 19 0.17 -7.1 -23.41 -15.25
2000 2 20 0 -2.78 -15.12 -8.95
2000 2 21 0 -8.91 -22.06 -15.48
2000 2 22 0 4.07 -8.1 -2.01
2000 2 23 1.1 9.18 -6.26 1.46
2000 2 24 0 -4.29 -15.81 -10.05
2000 2 25 0 0.96 -9.37 -4.21
2000 2 26 9.02 -6.24 -13.43 -9.84
2000 2 27 2.47 -2.54 -11.36 -6.95
2000 2 28 0.1 -3.38 -12.22 -7.8
2000 2 29 0.03 -4.48 -11.99 -8.23
2000 3 1 0 -7.72 -13.78 -10.75
2000 3 2 17.17 -2.66 -12.63 -7.65
2000 3 3 0 2.4 -4.24 -0.92
2000 3 4 0 2.32 -7.98 -2.83
2000 3 5 0 -1.14 -14.5 -7.82
2000 3 6 8.3 3.72 -2.46 0.63
2000 3 7 8.57 3.33 -1.37 0.98
2000 3 8 1.55 -0.1 -5.54 -2.82
2000 3 9 15.18 3.7 -2.08 0.81
2000 3 10 0 0.85 -15.21 -7.18
2000 3 11 0 -2.73 -10.81 -6.77
2000 3 12 0 11.87 -5.69 3.09
2000 3 13 0 7.27 -4.04 1.61
2000 3 14 0 5.36 -5.65 -0.15
2000 3 15 0 -0.08 -9.17 -4.62
2000 3 16 0 8.01 -1.35 3.33
2000 3 17 0 3.04 -6.73 -1.85
2000 3 18 0 4.51 -3.41 0.55
2000 3 19 0 5.9 -1.93 1.99
2000 3 20 0 3.84 -9.86 -3.01
2000 3 21 0 8.33 -4.16 2.08
2000 3 22 0 5.61 -6.01 -0.2
2000 3 23 0 7.17 -10.24 -1.54
2000 3 24 0 5.02 -10.51 -2.75
