YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 101.21 -1.52 -12.74 -7.13 12.81 11.22
2000 2 51.59 -0.21 -12.42 -6.31 16.94 12.21
2000 3 65.65 4.38 -6.76 -1.19 36.08 11.13
2000 4 75.02 13.93 -0.17 6.88 79.8 14.1
2000 5 90.35 19.51 6.92 13.21 119.36 12.6
2000 6 67.39 23.5 10.12 16.81 147.04 13.39
2000 7 27.17 27.44 12.87 20.15 175.66 14.57
2000 8 102.59 26.84 12.22 19.53 160.37 14.62
2000 9 101.42 22.58 8.21 15.39 114.92 14.36
2000 10 113.57 18.6 4.39 11.49 79.44 14.21
2000 11 44.79 10.45 -2.23 4.11 37.96 12.68
2000 12 105.14 1.26 -9.21 -3.98 16.71 10.47
2001 1 104.31 -0.42 -11.33 -5.88 14.11 10.9
2001 2 150.41 1.55 -9.35 -3.9 19.37 10.9
2001 3 79.38 4.49 -6.48 -1 36.24 10.97
2001 4 151.11 13.61 0.92 7.27 76.91 12.7
2001 5 116.08 18.02 5.3 11.66 113.97 12.72
2001 6 15.05 25.39 10.92 18.16 158.82 14.47
2001 7 68.76 27.93 13.45 20.69 177.6 14.48
2001 8 34.29 25.85 12.12 18.99 153.12 13.73
2001 9 102.56 22.26 9.27 15.77 110.53 12.99
2001 10 178.42 16.21 3.98 10.09 70.19 12.23
2001 11 96.8 8.96 -1.53 3.72 33.89 10.49
2001 12 50.86 1.59 -9.05 -3.73 17.15 10.64
2002 1 20.09 0.35 -10.98 -5.31 15.07 11.33
2002 2 166.71 1.1 -8.7 -3.8 18.49 9.8
2002 3 74.88 4.95 -6.31 -0.68 37.41 11.26
2002 4 114.79 13.72 0.89 7.3 77.43 12.83
2002 5 86.52 20.24 5.95 13.09 126.64 14.29
2002 6 88.13 24.02 9.81 16.92 151.98 14.22
2002 7 127.4 27.69 14.63 21.16 170.72 13.06
2002 8 36.84 26.76 12.46 19.61 158.97 14.31
2002 9 70.98 23.65 9.67 16.66 117.68 13.97
2002 10 47.52 16.11 2.62 9.36 71.77 13.49
2002 11 175.11 10.83 -0.64 5.1 37.72 11.47
2002 12 169.61 2.13 -7.17 -2.52 17.4 9.3
2003 1 65.9 0.38 -9.97 -4.8 15 10.35
2003 2 104.29 1.2 -9.96 -4.38 19.59 11.15
2003 3 125.11 5.82 -4.47 0.67 39.04 10.29
2003 4 103.86 14.05 1.17 7.61 79.19 12.88
2003 5 113.96 21.65 6.46 14.06 135.31 15.19
2003 6 151.16 24.75 11.98 18.37 150.34 12.77
2003 7 155.2 27.91 15.77 21.84 167.27 12.14
2003 8 106.46 27.13 14.36 20.74 154.11 12.77
2003 9 132.49 24.39 9.81 17.1 120.83 14.58
2003 10 117.75 17.27 2.57 9.92 75.65 14.7
2003 11 127.43 9.51 -0.42 4.54 33.84 9.93
2003 12 93.16 2.15 -7.38 -2.62 17.39 9.53
2004 1 145.71 -1.01 -11.69 -6.35 13.41 10.69
2004 2 66.19 2.47 -9.22 -3.37 20.81 11.68
2004 3 154.66 6.46 -4.63 0.91 40.59 11.09
2004 4 116.2 14.69 1.43 8.06 81.09 13.26
2004 5 143.75 20.18 7.08 13.63 123.4 13.11
2004 6 78.24 24.55 10.9 17.72 152.39 13.65
2004 7 79.69 27.82 14.2 21.01 173.66 13.62
2004 8 159 27.72 15.11 21.42 156.5 12.62
2004 9 112.61 21.07 8.47 14.77 105.58 12.59
2004 10 169.31 16.25 3.89 10.07 70.49 12.36
2004 11 104.55 8.36 -0.95 3.71 31.92 9.31
2004 12 76.05 3.32 -7.04 -1.86 19.17 10.36
2005 1 100.69 0.65 -10.38 -4.87 15.4 11.03
2005 2 121.59 1.88 -8.81 -3.46 19.78 10.69
2005 3 100.41 5.75 -4.87 0.44 38.71 10.62
2005 4 172.76 13.96 1.23 7.6 78.03 12.73
2005 5 56.62 19.97 5.14 12.55 126.78 14.83
2005 6 163.65 25.37 12.05 18.71 154.69 13.32
2005 7 56.19 27.46 14.67 21.07 168.52 12.79
2005 8 93 25.67 13.17 19.42 147.85 12.5
2005 9 91.75 21.8 8.49 15.14 109.79 13.31
2005 10 64.44 17.89 3.2 10.55 78.14 14.68
2005 11 29.21 8.36 -3.55 2.41 33.92 11.91
2005 12 40.9 2.37 -7.33 -2.48 17.83 9.7
2006 1 12.97 -1.28 -13.01 -7.15 13.08 11.73
