YEAR MONTH DAY PRCP TMAX TMIN TAVG
2000 1 1 0 30 20 25
2000 1 2 2.08 4.47 -13.5 -4.52
2000 1 3 0 2.67 -6.1 -1.71
2000 1 4 0 -0.5 -13.51 -7
2000 1 5 2.12 -6.73 -20.3 -13.52
2000 1 6 0.08 3.41 -3.59 -0.09
2000 1 7 5.2 -3.02 -18.64 -10.83
2000 1 8 0 -3.94 -14.09 -9.02
2000 1 9 3.17 -4.85 -16.88 -10.86
2000 1 10 0 1.48 -2.15 -0.34
2000 1 11 0 -0.11 -15.97 -8.04
2000 1 12 0 -1.31 -13.13 -7.22
2000 1 13 0 6.19 0.03 3.11
2000 1 14 0 4.48 -12.53 -4.02
2000 1 15 0 -2.09 -10.06 -6.08
2000 1 16 0 5.22 -7.5 -1.14
2000 1 17 0.43 3.55 -2.4 0.57
2000 1 18 0.17 -7.97 -19.37 -13.67
2000 1 19 0 -5.2 -18.46 -11.83
2000 1 20 0 -9.38 -18.67 -14.03
2000 1 21 2.4 3.81 -3.09 0.36
2000 1 22 6.1 6.83 -1.03 2.9
2000 1 23 0 2.27 -0.6 0.84
2000 1 24 0 -0.1 -9.65 -4.88
2000 1 25 0 1.82 -15.72 -6.95
2000 1 26 0 -7.77 -18.01 -12.89
2000 1 27 0 0.32 -13.26 -6.47
2000 1 28 0 -2.19 -10.07 -6.13
2000 1 29 0 -8.37 -13.31 -10.84
2000 1 30 0 -3.13 -8.41 -5.77
2000 1 31 2.12 -0.24 -14.19 -7.21
2000 2 1 1.73 7.35 -5.66 0.84
2000 2 2 0 -0.55 -17.01 -8.78
2000 2 3 0 -7.34 -23.95 -15.64
2000 2 4 15 -1.33 -19.25 -10.29
2000 2 5 0.05 1.94 -5.97 -2.01
2000 2 6 0.1 0.38 -6 -2.81
2000 2 7 0 -3.39 -15.8 -9.6
2000 2 8 0 0.06 -12.02 -5.98
2000 2 9 0 -0.73 -5.78 -3.25
2000 2 10 0 -0.94 -12.64 -6.79
2000 2 11 7.57 2.43 -8.75 -3.16
2000 2 12 29.77 -0.69 -5.79 -3.24
2000 2 13 3.72 5.39 -3.71 0.84
2000 2 14 11.7 -2.19 -8.5 -5.34
2000 2 15 0 3.25 -4.97 -0.86
2000 2 16 0 6.94 -5.57 0.68
2000 2 17 3.55 9.5 0.08 4.79
2000 2 18 18.77 4.32 -8.4 -2.04
2000 2 19 0 2.56 -1.72 0.42
2000 2 20 0 7.21 -8.56 -0.68
2000 2 21 18.83 6.56 -6.26 0.15
2000 2 22 32.62 7.06 -0.21 3.42
2000 2 23 0 5.95 -4.9 0.52
2000 2 24 1.95 -10.45 -22.87 -16.66
2000 2 25 0.32 8.29 -3.26 2.51
2000 2 26 0 3.19 -1.46 0.86
2000 2 27 2.2 -2.17 -18.5 -10.34
2000 2 28 0 11.96 -4.03 3.97
2000 2 29 0 4.24 -7.7 -1.73
2000 3 1 0 1.73 -9.28 -3.77
2000 3 2 0 -8.37 -21.78 -15.07
2000 3 3 0 6.69 -2.37 2.16
2000 3 4 0 -3.18 -11.43 -7.3
2000 3 5 0 5.13 -4.44 0.34
2000 3 6 7.93 10.62 -1.28 4.67
2000 3 7 1.73 3.48 -1.33 1.07
2000 3 8 20.77 4.62 -7.32 -1.35
2000 3 9 0 2.65 -2.79 -0.07
2000 3 10 0 0.76 -17.67 -8.46
2000 3 11 0 1.26 -15.46 -7.1
2000 3 12 0 7.43 -3.05 2.19
2000 3 13 0 6.79 -10.37 -1.79
2000 3 14 0 5.36 -5.65 -0.15
2000 3 15 12.85 6.82 -7.82 -0.5
2000 3 16 0 2.45 -2.25 0.1
2000 3 17 20.42 4.37 1.32 2.85
2000 3 18 0 8.08 -2.8 2.64
2000 3 19 1.02 3.57 -11.21 -3.82
2000 3 20 0 -0.11 -18.2 -9.15
2000 3 21 0 6.59 -3.29 1.65
2000 3 22 0 5.84 -4.74 0.55
2000 3 23 0 7.17 -10.24 -1.54
2000 3 24 0 9.84 -9.59 0.12
2000 3 25 0 13.06 -2.95 5.05
2000 3 26 8.02 5.62 -4.28 0.67
2000 3 27 5.88 1.87 -8.22 -3.18
2000 3 28 0 1.61 -0.85 0.38
2000 3 29 3.75 11.35 -0.7 5.33
2000 3 30 0.45 14.73 2 8.37
2000 3 31 11.88 8.89 1.79 5.34
2000 4 1 2.3 4.55 0.55 2.55
2000 4 2 3.5 14.08 5.27 9.68
2000 4 3 0 8.08 -2.97 2.55
2000 4 4 0.73 17.08 -0.57 8.25
2000 4 5 0 6.72 -2.6 2.06
2000 4 6 0 6.83 -4.03 1.4
2000 4 7 0 8.39 -1.11 3.64
2000 4 8 0 2.09 -6.9 -2.41
2000 4 9 0 9 -3.26 2.87
2000 4 10 12.15 10.87 0.87 5.87
2000 4 11 0.47 6.87 2.43 4.65
2000 4 12 7.5 12.95 2.44 7.69
2000 4 13 1.1 11.97 0.47 6.22
2000 4 14 25.5 12.52 -2.77 4.88
2000 4 15 0.85 8.62 3.21 5.91
2000 4 16 7.1 9.36 0.55 4.96
2000 4 17 3.35 15.07 2.07 8.57
2000 4 18 25.27 17.58 6.71 12.14
2000 4 19 0 8.06 -0.14 3.96
2000 4 20 0 22 6.45 14.22
2000 4 21 0 22.97 2.12 12.54
2000 4 22 0 24.35 2.26 13.3
2000 4 23 0 22.99 5.85 14.42
2000 4 24 1.85 7.94 -3 2.47
2000 4 25 1.6 19.83 2.12 10.97
2000 4 26 17.67 18.97 6.7 12.83
2000 4 27 0 12.98 4.52 8.75
2000 4 28 0.55 14.65 -2.5 6.08
2000 4 29 0.93 18.78 0.79 9.79
2000 4 30 1.23 21.16 6.07 13.62
2000 5 1 0 18.06 5.73 11.89
2000 5 2 0 20.86 6.19 13.53
2000 5 3 8.88 14.81 -1.34 6.74
2000 5 4 2.62 21.92 6.21 14.07
2000 5 5 0.12 17.18 -0.89 8.14
2000 5 6 0 21.74 -0.09 10.82
2000 5 7 0 20.27 1.42 10.84
2000 5 8 0.3 27.56 9.01 18.29
2000 5 9 0 16.28 0.46 8.37
2000 5 10 0 24.32 8.35 16.34
2000 5 11 0 16.37 3.9 10.13
2000 5 12 2.7 16.75 3.28 10.02
2000 5 13 0 14.04 2.99 8.52
2000 5 14 1.8 20.8 2.89 11.85
2000 5 15 0 13.41 5.35 9.38
2000 5 16 0.73 27.84 13.54 20.69
2000 5 17 0.17 17 3.8 10.4
2000 5 18 0 22.56 7.5 15.03
2000 5 19 0 24.85 4.54 14.7
2000 5 20 0.12 13.01 -0.24 6.38
2000 5 21 0.57 12.92 3.74 8.33
2000 5 22 5.4 16.4 5.79 11.09
2000 5 23 0 22.07 10.52 16.3
2000 5 24 1.2 21.32 3.35 12.34
2000 5 25 0 25.39 13.86 19.62
2000 5 26 0 19.99 3.95 11.97
2000 5 27 0 13.27 -1.27 6
2000 5 28 0 18.98 0.81 9.89
2000 5 29 0 24.99 6.4 15.7
2000 5 30 15.23 23.78 9.97 16.88
2000 5 31 0 13.03 8.35 10.69
2000 6 1 5.4 24.06 12.48 18.27
2000 6 2 45.7 24.74 12.77 18.75
2000 6 3 2.35 19.71 11.21 15.46
2000 6 4 0 21.43 3.79 12.61
2000 6 5 0.62 25.73 12.59 19.16
2000 6 6 4.97 21.75 11.06 16.41
2000 6 7 1.42 24.17 12.93 18.55
2000 6 8 0.28 24.5 14.03 19.27
2000 6 9 0 26.09 9.83 17.96
2000 6 10 0.22 23.26 11.63 17.45
2000 6 11 0.08 14.57 8.67 11.62
2000 6 12 0 22.93 8.02 15.47
2000 6 13 10.12 30.14 15.64 22.89
2000 6 14 0.98 15.08 8.25 11.66
2000 6 15 2.2 30.19 16.29 23.24
2000 6 16 7.8 22.89 11.58 17.23
2000 6 17 1.7 20.62 11 15.81
2000 6 18 0 20.06 4.47 12.26
2000 6 19 0 19.41 1.92 10.66
2000 6 20 0 28.28 9.84 19.06
2000 6 21 12.85 19.47 13.06 16.27
2000 6 22 0.05 24.1 13.99 19.05
2000 6 23 0.28 15.47 5.15 10.31
2000 6 24 0.85 24.1 11.94 18.02
2000 6 25 0.8 31.38 18.56 24.97
2000 6 26 0.75 24.57 9.36 16.96
2000 6 27 1.45 28.64 18.2 23.42
2000 6 28 0 24.29 10.95 17.62
2000 6 29 0 22.79 9.64 16.21
2000 6 30 0 28.36 9.34 18.85
2000 7 1 0 24.14 8.25 16.2
2000 7 2 0 26.47 9.45 17.96
2000 7 3 0 28.54 12.41 20.48
2000 7 4 0 28.15 16.64 22.39
2000 7 5 0.93 27.99 7.68 17.84
2000 7 6 34.55 26.48 14.4 20.44
2000 7 7 0 23.6 14.53 19.07
2000 7 8 0 22.93 9.46 16.2
2000 7 9 0 21.89 7.53 14.71
2000 7 10 0 27.33 12.93 20.13
2000 7 11 0.98 25.66 10.55 18.11
2000 7 12 0.5 31.84 18.39 25.12
2000 7 13 0 29.98 11.63 20.8
2000 7 14 0 29.18 11.71 20.45
2000 7 15 0.35 31.77 15.05 23.41
2000 7 16 0.08 31.55 19.12 25.34
2000 7 17 3 31.72 16.38 24.05
2000 7 18 17.35 29.84 17.91 23.88
2000 7 19 0.2 25.99 14.28 20.13
2000 7 20 0.47 27.84 16.63 22.23
2000 7 21 0 25.43 8.66 17.05
2000 7 22 14.07 29.68 9.56 19.62
2000 7 23 0.03 22.46 13.23 17.84
2000 7 24 6.07 28.72 15.43 22.07
2000 7 25 0.5 28.08 14.23 21.16
2000 7 26 17.55 27.86 13.21 20.54
2000 7 27 0 31.06 14.47 22.77
2000 7 28 1.15 29.41 12.13 20.77
2000 7 29 3.8 24.38 16.04 20.21
2000 7 30 0.28 28.37 13.86 21.12
2000 7 31 0.22 24.77 13.85 19.31
2000 8 1 3.12 24.53 15.54 20.04
2000 8 2 0.47 24.54 12.89 18.71
2000 8 3 0 22.22 7.36 14.79
2000 8 4 0 26.23 6.72 16.48
2000 8 5 0 28.88 12.47 20.68
2000 8 6 0 24.66 5.4 15.03
2000 8 7 0 25.79 8.85 17.32
2000 8 8 0 25.71 14.64 20.18
2000 8 9 0 25.14 10.35 17.75
2000 8 10 6.6 23.85 8.5 16.18
2000 8 11 0 24.37 10.91 17.64
2000 8 12 0.6 29.56 12.16 20.86
2000 8 13 0.4 24.39 8.72 16.55
2000 8 14 0.35 25.27 12.29 18.78
2000 8 15 0 25.03 11.43 18.23
2000 8 16 0 25.98 7.52 16.75
2000 8 17 0.1 24.51 14.3 19.41
2000 8 18 0 21.62 4.48 13.05
2000 8 19 0 28.66 8.52 18.59
2000 8 20 6.62 29.66 20.27 24.96
2000 8 21 0 28.81 13.61 21.21
2000 8 22 0 27.65 15.13 21.39
2000 8 23 0 23.44 7.68 15.56
2000 8 24 0 23.52 7.74 15.63
2000 8 25 0 28.82 6.73 17.77
2000 8 26 0 26.88 9.11 17.99
2000 8 27 0.65 27.27 11.42 19.34
2000 8 28 2.33 26.05 14.49 20.27
2000 8 29 0.75 29.21 16.21 22.71
2000 8 30 6.57 27.14 15.94 21.54
2000 8 31 4.22 17.72 13.91 15.81
2000 9 1 0 17.14 14.81 15.98
2000 9 2 0.5 29.03 18.36 23.7
2000 9 3 3.88 31.86 19.26 25.56
2000 9 4 0.25 32.22 13.92 23.07
2000 9 5 0 26.48 10.01 18.25
2000 9 6 0 24.86 9.95 17.41
2000 9 7 0 26.9 7.28 17.09
2000 9 8 0 24.12 7.31 15.71
2000 9 9 4.65 26.7 13.97 20.34
2000 9 10 20 25.47 12.13 18.8
2000 9 11 68.75 16.76 13.13 14.95
2000 9 12 13.85 17.38 5.63 11.5
2000 9 13 0.35 21.62 7.15 14.39
2000 9 14 0 25.62 14.39 20.01
2000 9 15 0 21.12 8.46 14.79
2000 9 16 0 20.57 2.26 11.41
2000 9 17 0 23.76 6.28 15.02
2000 9 18 0.08 17.44 4.46 10.95
2000 9 19 0 23 10.79 16.89
2000 9 20 0 23.93 6.98 15.46
2000 9 21 0 27.02 13.14 20.08
2000 9 22 0.03 27.55 14.55 21.05
