YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 53.27 1.73 -9.57 -3.92 16.72 11.3
2000 2 100.31 0.27 -11.74 -5.73 17.65 12.01
2000 3 88.92 5.45 -5.6 -0.08 38.36 11.05
2000 4 99.45 11.81 -1 5.41 71.53 12.81
2000 5 128.29 19.68 6.32 13 122.07 13.36
2000 6 75.68 24.45 11.1 17.78 150.93 13.35
2000 7 105.66 28.31 14.59 21.45 176.23 13.71
2000 8 170.16 28.09 13.05 20.57 167.15 15.03
2000 9 67.05 22.7 8.36 15.53 115.27 14.33
2000 10 50.91 17.5 4 10.75 75.48 13.51
2000 11 110.24 8.88 -2.95 2.97 34.75 11.83
2000 12 107.61 2.51 -6.07 -1.78 17.54 8.58
2001 1 114.11 1.21 -10.94 -4.87 16.16 12.16
2001 2 12.44 0.28 -10.6 -5.16 17.59 10.88
2001 3 46.36 5.48 -5.56 -0.04 38.42 11.04
2001 4 19.96 12.93 0.06 6.49 75.03 12.87
2001 5 155.18 19.28 5.46 12.37 121.62 13.82
2001 6 143.91 24.74 11.15 17.95 153.02 13.59
2001 7 89.01 27.17 14.71 20.94 165.82 12.46
2001 8 203.19 25.42 12.77 19.09 147.42 12.65
2001 9 8.94 23.61 7.21 15.41 122.86 16.4
2001 10 141.8 16.78 3.78 10.28 72.82 12.99
2001 11 139.73 11.34 1.27 6.31 37.21 10.07
2001 12 114.54 3.88 -5.21 -0.67 19.3 9.09
2002 1 89.82 -0.13 -12.13 -6.13 14.48 12
2002 2 76.33 -0.29 -11.18 -5.74 16.79 10.88
2002 3 81.49 4.96 -6.66 -0.85 37.61 11.61
2002 4 183.84 12.88 0.97 6.92 73.49 11.91
2002 5 68.88 19.59 5.23 12.41 124.16 14.36
2002 6 118.94 23.25 10.45 16.85 143.89 12.79
2002 7 92.38 27.97 14.37 21.17 174.29 13.6
2002 8 70.69 26.93 13.75 20.34 155.59 13.18
2002 9 87.2 22.54 7.7 15.12 115.84 14.84
2002 10 81.26 15.65 3.89 9.77 68.01 11.76
2002 11 36.24 10.04 -2.22 3.91 36.99 12.26
2002 12 190.59 2.98 -6.69 -1.86 18.53 9.68
2003 1 65.74 0.96 -10.28 -4.66 15.8 11.25
2003 2 53.97 -0.2 -11.93 -6.07 17.57 11.73
2003 3 100.39 5.2 -4.97 0.11 37.64 10.18
2003 4 80.74 13.54 -0.95 6.29 79.62 14.48
2003 5 142.88 19.03 6.18 12.61 118.79 12.85
2003 6 53.32 24.52 10.65 17.58 153.26 13.87
2003 7 96.17 26.82 13.7 20.26 166.98 13.12
2003 8 127.87 27.15 13.06 20.1 159.2 14.09
2003 9 61.44 23.37 8.66 16.02 117.59 14.71
2003 10 83.44 16.39 3.39 9.89 71.06 13
2003 11 112.37 8.56 -1.87 3.34 32.82 10.43
2003 12 140.09 3.07 -6.7 -1.81 18.55 9.77
2004 1 73.54 -1.81 -13.08 -7.44 12.46 11.27
2004 2 51 -0.41 -11.3 -5.85 16.64 10.89
2004 3 75.72 5.84 -4.73 0.56 38.85 10.56
2004 4 99.09 15.27 1.71 8.49 83.38 13.57
2004 5 42.92 21.02 5.41 13.21 132.9 15.61
2004 6 128.49 25.05 10.96 18 156.02 14.09
2004 7 126.74 27.7 13.04 20.37 177.18 14.66
2004 8 67.21 27.63 12.43 20.03 165.74 15.2
2004 9 117.45 22.99 9.92 16.45 113.11 13.07
2004 10 46.86 17.39 3.53 10.46 75.7 13.86
2004 11 60.44 9.06 -3.17 2.95 35.29 12.23
2004 12 238.66 4.15 -5.25 -0.55 19.76 9.4
2005 1 80.28 1.54 -10.41 -4.43 16.56 11.95
2005 2 124.01 0.95 -10.44 -4.74 18.59 11.39
2005 3 87.75 5.89 -4.07 0.91 38.44 9.96
2005 4 49.73 13.69 0.8 7.25 77.42 12.89
2005 5 59.34 20.4 4.84 12.62 130.14 15.56
2005 6 128.37 24.18 10.59 17.38 150.6 13.59
2005 7 103.41 28.02 14.55 21.29 173.94 13.47
2005 8 70.46 26.69 14.53 20.61 150.46 12.16
2005 9 47.2 22.52 8.23 15.38 114.58 14.29
2005 10 130.37 15.82 2.41 9.11 70.9 13.41
2005 11 65.98 10.07 -1.63 4.22 36.63 11.69
2005 12 147.44 2.23 -7.79 -2.78 17.76 10.02
2006 1 78.09 0.07 -10.91 -5.42 14.71 10.98
2006 2 97.03 0.42 -11.12 -5.35 17.85 11.54
2006 3 106.97 5.3 -5.19 0.05 37.65 10.49
2006 4 57.94 15.55 0.96 8.25 85.69 14.59
2006 5 54.9 20.16 5.4 12.78 127.39 14.75
2006 6 88.05 23.62 11.3 17.46 143.72 12.32
2006 7 42.78 27.39 14.25 20.82 169.75 13.14
2006 8 63.82 27.08 13.23 20.16 158.72 13.85
2006 9 82.56 23.41 8.55 15.98 118.94 14.86
2006 10 66.56 16.19 2.6 9.39 72.15 13.6
2006 11 126.6 11.14 0.08 5.61 37.88 11.06
2006 12 48.08 2.39 -7.91 -2.76 18.02 10.29
2007 1 131.55 0.62 -10.8 -5.09 15.39 11.42
2007 2 24.23 0.92 -12.09 -5.59 19.25 13.01
2007 3 54.98 4.87 -6.32 -0.72 37.64 11.19
2007 4 20.87 13.17 -0.47 6.34 77.42 13.64
2007 5 160.81 19.4 7.66 13.53 116.99 11.74
2007 6 163.82 25.23 12.76 19 151.11 12.47
2007 7 85.87 26.36 12.75 19.55 166.91 13.61
2007 8 187.76 26.46 13.68 20.07 151.52 12.79
2007 9 75.28 22.02 9.06 15.54 108.81 12.95
2007 10 56.51 17.33 2.28 9.81 76.24 15.06
2007 11 155.56 10.27 -0.35 4.96 35.67 10.63
2007 12 105.26 1.73 -7.68 -2.98 16.88 9.41
2008 1 99.71 0.29 -10.64 -5.17 14.96 10.93
2008 2 47.97 1.62 -10.84 -4.61 19.64 12.46
2008 3 116.62 5.84 -4.9 0.47 38.97 10.73
2008 4 208.53 12.61 -0.04 6.28 73.74 12.64
2008 5 102.04 19.07 6.11 12.59 118.67 12.96
2008 6 172.55 25.28 11.21 18.24 156.96 14.07
2008 7 101.58 27.73 12.82 20.28 178.3 14.92
2008 8 107.96 26.5 13.3 19.9 153.87 13.2
2008 9 148.05 22.58 10 16.29 110.45 12.58
2008 10 171.25 15.99 4.63 10.31 68.17 11.37
2008 11 91.8 11.58 -0.27 5.66 39.27 11.85
2008 12 78.59 2.2 -7.95 -2.87 17.77 10.15
2009 1 89.74 0.46 -11.93 -5.74 15.22 12.38
2009 2 146.05 1.44 -10.41 -4.48 19.34 11.84
2009 3 114.97 7.18 -4.17 1.5 42.34 11.35
2009 4 54.38 14.74 0.53 7.63 82.56 14.21
2009 5 70.43 20.43 6.5 13.47 126.57 13.93
2009 6 157.71 23.15 10.64 16.89 142.46 12.51
2009 7 142.93 27.45 13.72 20.59 172.48 13.73
2009 8 43.29 26.27 12.88 19.58 153.68 13.39
2009 9 113.33 23.39 9.02 16.21 117.74 14.37
2009 10 126.1 16.04 4.43 10.24 68.71 11.61
2009 11 134.7 8.88 -1.72 3.58 33.85 10.59
2009 12 109.16 0.86 -8.21 -3.68 15.89 9.07
2010 1 95.95 0.76 -10.51 -4.88 15.55 11.27
2010 2 108.17 0.55 -10.06 -4.76 17.93 10.61
2010 3 96.17 5.2 -7.08 -0.94 38.48 12.28
2010 4 149.12 13.96 0.8 7.38 78.67 13.16
2010 5 108.08 19.64 5.3 12.47 124.31 14.34
2010 6 149.49 24.18 10.83 17.5 149.77 13.35
2010 7 97.32 27.93 14.79 21.36 172.13 13.14
2010 8 86.34 25.96 13.34 19.65 149.46 12.62
2010 9 86.55 22.12 8.51 15.32 111.6 13.61
2010 10 54.9 17.01 2.54 9.78 75.46 14.47
2010 11 69.95 9.33 -2.09 3.62 35.21 11.42
2010 12 67.79 3.15 -6.48 -1.67 18.7 9.63
2011 1 66.36 0.96 -8.62 -3.83 15.5 9.58
2011 2 49.26 2.65 -8.6 -2.97 21.74 11.25
2011 3 18.98 5.3 -7.58 -1.14 39.4 12.89
2011 4 69.62 14.37 1.2 7.79 80.63 13.17
2011 5 29.03 20.37 5.35 12.86 129.49 15.02
2011 6 72.12 26.69 11.94 19.31 165.75 14.74
2011 7 132.58 27.03 14.1 20.56 167.15 12.94
2011 8 21.6 26.53 11.75 19.14 158.89 14.77
2011 9 96.05 22.73 9.01 15.87 113.09 13.72
2011 10 53.97 16.89 2.28 9.58 74.51 14.61
2011 11 45.43 9.55 -2.5 3.52 35.58 12.04
2011 12 62.2 1.59 -8.78 -3.59 16.98 10.37
2012 1 108 0.4 -10.35 -4.98 15.07 10.75
2012 2 26.92 1.51 -10.24 -4.37 19.44 11.76
2012 3 73 5.41 -6.27 -0.43 38.67 11.69
2012 4 91.86 12.52 0.8 6.66 72.1 11.72
2012 5 37.37 18.94 5.29 12.11 119.88 13.66
2012 6 98.1 24.06 10.84 17.45 148.81 13.22
2012 7 87.94 27.39 13.76 20.57 171.78 13.63
2012 8 98.55 26.15 12.76 19.46 153.2 13.4
2012 9 134.16 22.23 9.55 15.89 109.55 12.67
2012 10 205.25 17.7 4.22 10.96 75.97 13.48
2012 11 32.55 9.42 -3.29 3.06 36.18 12.71
2012 12 64.62 2.35 -8.08 -2.87 18.02 10.43
2013 1 36.44 0.67 -9.9 -4.61 15.37 10.57
2013 2 55.31 2.99 -8.68 -2.85 21.56 11.68
2013 3 63.86 4.25 -7.15 -1.45 35.94 11.39
2013 4 25.4 13.95 -0.99 6.48 80.82 14.94
2013 5 100.1 19.31 4.59 11.95 123.77 14.71
2013 6 99.3 23.83 10.75 17.29 147.33 13.08
2013 7 53.47 27.11 13.17 20.14 171.79 13.95
2013 8 34.68 26.2 11.96 19.08 156.37 14.24
2013 9 60.8 22.63 8.22 15.42 115.22 14.41
2013 10 136.75 16.46 2.65 9.56 73.13 13.81
2013 11 118.96 9.74 -0.34 4.7 34.75 10.08
2013 12 78.81 1.71 -8.19 -3.24 17.11 9.9
2014 1 152.74 -0.77 -11.36 -6.06 13.69 10.59
2014 2 43.1 1.71 -9.17 -3.73 19.58 10.88
2014 3 89.46 6.02 -5.53 0.24 39.93 11.55
2014 4 81.85 13.64 0.73 7.19 77.29 12.91
2014 5 113.36 19.65 6.11 12.88 122.44 13.54
2014 6 120.19 24.82 11.2 18.01 153.45 13.62
2014 7 133.62 27.39 13.59 20.49 172.47 13.8
2014 8 30.68 27.74 13.36 20.55 163.43 14.39
2014 9 180.96 23.76 10.87 17.32 115.18 12.89
2014 10 52.57 17.46 3.41 10.43 76.13 14.05
2014 11 179.84 9.06 -0.89 4.08 33.57 9.95
2014 12 37.46 1.9 -8.78 -3.44 17.54 10.69
2015 1 52.28 -0.88 -12.39 -6.63 13.57 11.5
2015 2 38.69 1.73 -10.92 -4.6 20.53 12.65
2015 3 171.94 5.76 -3.86 0.95 38.32 9.63
2015 4 36.86 13.55 -1.1 6.23 79.85 14.65
2015 5 80.49 20.87 5.78 13.32 131.72 15.08
2015 6 64.27 24.52 10.3 17.41 154.44 14.22
2015 7 146.09 26.78 14.4 20.59 163.67 12.39
2015 8 108.77 26.81 13.47 20.14 155.08 13.34
2015 9 135.23 21.75 8.16 14.95 109.48 13.59
2015 10 161.99 17.63 4.16 10.9 74.97 13.47
2015 11 165.78 10.14 -0.59 4.77 35.55 10.73
2015 12 78.63 2.84 -7.7 -2.43 18.53 10.55
2016 1 63.55 -1.19 -12.58 -6.89 13.2 11.38
2016 2 38.21 0.33 -10.17 -4.92 17.61 10.49
2016 3 166.62 4.57 -6 -0.71 36.17 10.57
2016 4 30.8 14.67 1.25 7.96 81.25 13.42
2016 5 55.96 20.53 5.95 13.24 128.55 14.58
2016 6 26.09 23.37 9.66 16.51 147.51 13.71
2016 7 54.2 27.69 14.48 21.08 171.34 13.21
2016 8 293.03 25.66 12.9 19.28 148.8 12.75
