YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 157.65 1.65 -8.95 -3.65 16.55 10.6
2000 2 114.99 2.55 -8.49 -2.97 20.83 11.04
2000 3 72.68 4.54 -7.41 -1.44 36.89 11.96
2000 4 101.25 12.87 -0.35 6.26 75.36 13.22
2000 5 46.66 19.95 5 12.48 127 14.95
2000 6 57.56 24.23 10.77 17.5 150.38 13.46
2000 7 81.98 28.02 15.21 21.61 171.07 12.81
2000 8 92.42 26.77 13.06 19.91 156.9 13.71
2000 9 104.32 21.81 8.44 15.13 110.03 13.37
2000 10 33.98 16.71 2 9.36 75 14.71
2000 11 23.51 8.97 -2.23 3.37 34.52 11.2
2000 12 114.25 3.04 -7.42 -2.19 18.9 10.46
2001 1 119.15 0.15 -10.2 -5.02 14.77 10.35
2001 2 141.07 1.56 -9.62 -4.03 19.46 11.18
2001 3 82.71 5.64 -5.63 0.01 38.99 11.28
2001 4 77.69 11.67 -1 5.34 70.97 12.67
2001 5 115.19 20.62 5.8 13.21 129.49 14.82
2001 6 94.8 25.23 11.41 18.32 155.9 13.82
2001 7 74.61 27.07 13.65 20.36 169.51 13.42
2001 8 80.11 26.39 12.45 19.42 156.17 13.94
2001 9 71.68 20.41 7.66 14.03 103.89 12.75
2001 10 134.65 18.6 4.36 11.48 79.55 14.23
2001 11 31.53 9.49 -2.09 3.7 35.65 11.58
2001 12 122.79 0.28 -8.36 -4.04 15.14 8.64
2002 1 89.24 0.18 -12.72 -6.27 14.88 12.9
2002 2 72.98 3.29 -8.39 -2.55 22.04 11.68
2002 3 146.6 7.07 -4.52 1.28 42.35 11.59
2002 4 88.11 13.38 0.65 7.01 76.28 12.73
2002 5 46.94 19.1 4.59 11.84 122.49 14.51
2002 6 62.14 25.27 11.48 18.38 155.97 13.79
2002 7 95.44 27.32 12.84 20.08 174.75 14.48
2002 8 109.03 26.52 13.87 20.2 151.89 12.65
2002 9 144.42 23.31 9.47 16.39 116.23 13.84
2002 10 150.53 16.24 3 9.62 71.85 13.24
2002 11 49 9.18 -3.12 3.03 35.59 12.3
2002 12 72.72 0.73 -7.93 -3.6 15.65 8.66
2003 1 97.99 -0.13 -10.69 -5.41 14.47 10.57
2003 2 120.82 -0.34 -12 -6.17 17.4 11.67
2003 3 63.41 4.95 -6.75 -0.9 38.12 11.7
2003 4 132.01 13.17 2.12 7.65 73.49 11.05
2003 5 94.98 19.75 5.32 12.54 125.63 14.44
2003 6 38.28 24.16 11.28 17.72 148.25 12.88
2003 7 86.22 28.65 14.57 21.61 179.1 14.08
2003 8 50.95 26.74 12.23 19.49 158.93 14.5
2003 9 115.65 22.01 11.28 16.65 102.36 10.73
2003 10 77.73 17.15 2.08 9.62 75.83 15.07
2003 11 70.38 9.3 -2.7 3.3 35.21 12.01
2003 12 147.59 2.96 -6.96 -2 18.51 9.92
2004 1 122.45 0.8 -8.27 -3.73 15.22 9.07
2004 2 97.37 3.17 -7.15 -1.99 21.48 10.33
2004 3 99.51 5.92 -5.02 0.45 39.36 10.94
2004 4 153.41 13.2 -0.43 6.38 76.94 13.63
2004 5 76.85 19.6 5.05 12.32 124.67 14.56
2004 6 43.87 24.19 10.76 17.48 150.13 13.44
2004 7 138.09 27.33 14.24 20.79 169.3 13.09
2004 8 50.88 26.53 12.32 19.43 157.7 14.21
2004 9 88.74 22.2 8.42 15.31 112.35 13.78
2004 10 127.99 17.85 4.3 11.08 76.54 13.55
2004 11 52.13 9.78 -2.16 3.81 36.39 11.94
2004 12 72.41 2.58 -7.63 -2.53 18.27 10.21
2005 1 93.11 0.93 -8.7 -3.88 15.52 9.63
2005 2 179.31 3.59 -6.66 -1.54 22.02 10.25
2005 3 81.4 4.9 -5.63 -0.37 36.88 10.53
2005 4 55.56 13.22 0.11 6.66 76.31 13.11
2005 5 70.77 19.98 4.84 12.41 127.55 15.15
2005 6 123.31 24.22 11.19 17.7 148.8 13.03
2005 7 52.3 27.06 13.36 20.21 170.6 13.7
2005 8 77.38 26.47 11.63 19.05 159.54 14.84
2005 9 48.23 22.06 8.71 15.39 110.84 13.35
2005 10 114.16 16.22 1.78 9 73.35 14.44
2005 11 89.1 8.83 -1.68 3.57 33.76 10.51
2005 12 91.69 3.15 -7.51 -2.18 19.1 10.66
2006 1 117.67 2.04 -9.99 -3.97 17.23 12.03
2006 2 64.2 -0.39 -12.15 -6.27 16.72 11.76
2006 3 93.48 5.53 -5.83 -0.15 38.77 11.35
2006 4 136.54 13.51 1.17 7.34 76.1 12.34
2006 5 123.79 19.54 5.87 12.71 122.35 13.67
2006 6 95.31 25.32 11.5 18.41 156.29 13.82
2006 7 78.03 26.9 13.43 20.17 168.96 13.47
2006 8 200.25 26.17 13.96 20.06 148.69 12.21
2006 9 50.6 23.61 9.34 16.47 118.34 14.27
2006 10 237.13 17.6 3.9 10.75 76.09 13.7
2006 11 32.9 10.28 -1.7 4.29 37.26 11.98
2006 12 41.76 -0.65 -11.57 -6.11 14.47 10.92
2007 1 35.79 0.18 -11.61 -5.72 14.9 11.79
2007 2 65.56 0.77 -11.38 -5.31 19.07 12.15
2007 3 89.85 6.05 -4.78 0.64 40.02 10.83
2007 4 164 13.84 1.32 7.58 78.03 12.52
2007 5 157.6 19.58 7.01 13.3 120.16 12.57
2007 6 46.43 24.16 11.13 17.65 148.81 13.03
2007 7 152.01 26.13 13.7 19.91 161.01 12.42
