YEAR MONTH DAY PRCP TMAX TMIN TAVG
2000 1 1 0 30 20 25
2000 1 2 0.08 2.81 -6.13 -1.66
2000 1 3 0 6.17 -7.29 -0.56
2000 1 4 0 -0.31 -13.32 -6.82
2000 1 5 0 1.76 -11.94 -5.09
2000 1 6 0 -6.6 -14.32 -10.46
2000 1 7 0 -2.75 -14.28 -8.51
2000 1 8 3.47 -0.86 -9.48 -5.17
2000 1 9 5.75 4.94 0.26 2.6
2000 1 10 0 0.22 -7.18 -3.48
2000 1 11 5.28 1.62 -10.15 -4.27
2000 1 12 2.25 9.83 -1.73 4.05
2000 1 13 1.15 2.62 -11.71 -4.54
2000 1 14 0 2.39 -6.71 -2.16
2000 1 15 0 -1.21 -9.19 -5.2
2000 1 16 19.6 -8.56 -14.28 -11.42
2000 1 17 0 13.56 -6.8 3.38
2000 1 18 0.82 -13.49 -28.3 -20.89
2000 1 19 3.58 -10.37 -23.43 -16.9
2000 1 20 0.68 8.74 -4.05 2.34
2000 1 21 4.5 -0.7 -12.73 -6.71
2000 1 22 0 11.5 -1.5 5
2000 1 23 28.98 6.45 -9.44 -1.5
2000 1 24 9.35 11.37 -3.07 4.15
2000 1 25 0 0.19 -8.85 -4.33
2000 1 26 0 -6.21 -16.45 -11.33
2000 1 27 0 13.03 -7.73 2.65
2000 1 28 0 5.36 -5.98 -0.31
2000 1 29 0 -6.63 -19.57 -13.1
2000 1 30 15.25 -6.93 -26.45 -16.69
2000 1 31 0 -1.1 -21.02 -11.06
2000 2 1 0 4.64 -0.9 1.87
2000 2 2 2.15 1.82 -13.37 -5.77
2000 2 3 0.12 0.95 -10.11 -4.58
2000 2 4 8.35 1.54 -6.19 -2.33
2000 2 5 15.9 6.26 -4.61 0.82
2000 2 6 2.42 -11.11 -13.37 -12.24
2000 2 7 0.17 -3.68 -14.21 -8.94
2000 2 8 0.1 11.26 1.84 6.55
2000 2 9 0.22 4.16 -1.64 1.26
2000 2 10 1.25 -1.17 -19.06 -10.11
2000 2 11 0 0.11 -19.09 -9.49
2000 2 12 0 2.1 -18.64 -8.27
2000 2 13 0.88 2.67 -10.88 -4.11
2000 2 14 3.92 -2.16 -17.04 -9.6
2000 2 15 0.1 -5.35 -12.41 -8.88
2000 2 16 0.68 5.45 -8.36 -1.46
2000 2 17 0.1 12.52 -6.58 2.97
2000 2 18 1.27 17.76 1.39 9.57
2000 2 19 0 13.46 -2.14 5.66
2000 2 20 0 7.06 -5.48 0.79
2000 2 21 0 7.39 -9.69 -1.15
2000 2 22 4.32 13.27 -1.19 6.04
2000 2 23 6.45 11.6 -0.92 5.34
2000 2 24 0.88 9.39 -1.8 3.8
2000 2 25 0 6.64 -12.13 -2.75
2000 2 26 0 10.05 -2.6 3.73
2000 2 27 0 5.87 -2.79 1.54
2000 2 28 13.27 4 -7.44 -1.71
2000 2 29 0 6.49 -0.9 2.79
2000 3 1 0 5.48 -5.53 -0.02
2000 3 2 0 6.4 -1.18 2.61
2000 3 3 0 9.68 -6.4 1.64
2000 3 4 0.65 3.71 -7.42 -1.86
2000 3 5 15.12 13.64 1.67 7.66
2000 3 6 2.72 15.61 3.2 9.41
2000 3 7 0.17 13.35 3.05 8.2
2000 3 8 3 7.26 1.26 4.26
2000 3 9 6.43 5.34 -0.15 2.59
2000 3 10 15.23 9.1 3 6.05
2000 3 11 2.72 15.93 3.52 9.72
2000 3 12 0 8.44 2.1 5.27
2000 3 13 2.35 5.34 -8.01 -1.34
2000 3 14 0 1.51 -10.91 -4.7
2000 3 15 12.85 11.45 -3.2 4.12
2000 3 16 2.62 4.69 -1.31 1.69
2000 3 17 10.73 6.25 2.72 4.49
2000 3 18 13.25 10.03 3.49 6.76
2000 3 19 0.88 7.64 4.11 5.88
2000 3 20 0.12 3.75 -5.66 -0.96
2000 3 21 0 14.52 3.75 9.13
2000 3 22 0 2.11 -8.13 -3.01
2000 3 23 0 2.73 -7.04 -2.15
2000 3 24 3.67 5.88 -4.61 0.63
2000 3 25 12.23 7.12 -7.05 0.03
2000 3 26 0 6.58 -5.43 0.58
2000 3 27 0 11.45 -5.28 3.09
2000 3 28 19.9 10.4 -0.24 5.08
2000 3 29 4.47 4.87 -0.76 2.05
2000 3 30 15.12 4.46 -2 1.23
2000 3 31 0 6.89 -5.12 0.89
2000 4 1 8.62 5.09 -10.18 -2.54
2000 4 2 2.45 4.22 -2.57 0.82
2000 4 3 0 10.95 -0.28 5.34
2000 4 4 0 18.67 -0.94 8.87
2000 4 5 0 14.85 -0.12 7.36
2000 4 6 0 17.86 0.32 9.09
2000 4 7 0 12.71 -0.77 5.97
2000 4 8 1.23 14.69 -1.47 6.61
2000 4 9 11.3 11.04 1.68 6.36
2000 4 10 9.6 4.6 -0.98 1.81
2000 4 11 0 9.94 -1.87 4.04
2000 4 12 0 17.12 2.47 9.8
2000 4 13 0 7.45 -4.21 1.62
2000 4 14 0 13.93 0.03 6.98
2000 4 15 0 10.25 -2.74 3.75
2000 4 16 0 13.59 -2.24 5.68
2000 4 17 7.4 19.05 1.34 10.2
2000 4 18 15.93 20.27 5.48 12.87
2000 4 19 16.9 7.11 3.55 5.33
2000 4 20 0 14.84 6.32 10.58
2000 4 21 0 22.68 6.2 14.44
2000 4 22 3.42 23.19 5.06 14.12
2000 4 23 0 17.11 6.49 11.8
2000 4 24 0 26.43 8.31 17.37
2000 4 25 0 25.68 5.29 15.48
2000 4 26 0 13.22 3.37 8.29
2000 4 27 0.08 21.48 8.57 15.03
2000 4 28 2.05 19.63 9 14.32
2000 4 29 0 17.18 4.98 11.08
2000 4 30 0 26.24 9.25 17.74
2000 5 1 0 21.98 5.05 13.52
2000 5 2 0 18.86 2.57 10.72
2000 5 3 0 22.7 7.93 15.31
2000 5 4 0.68 27.8 8.59 18.19
2000 5 5 8.98 25.02 14.99 20
2000 5 6 0 14.91 10.03 12.47
2000 5 7 0 18.12 2.02 10.07
2000 5 8 0 21.02 1.4 11.21
2000 5 9 0 22.91 3.27 13.09
2000 5 10 0 18.72 0.53 9.63
2000 5 11 0 24.21 5.12 14.67
2000 5 12 4.75 23.11 2.39 12.75
2000 5 13 6.4 23.05 9.91 16.48
2000 5 14 15.65 25.96 7.38 16.67
2000 5 15 11.18 23.48 5.77 14.62
2000 5 16 19.6 25.94 10.71 18.32
2000 5 17 2.58 14.76 9.77 12.27
2000 5 18 12.73 20.45 14.5 17.48
2000 5 19 0.57 19.64 11.61 15.62
2000 5 20 3.42 20.12 6.6 13.36
2000 5 21 19.17 23.63 13.59 18.61
2000 5 22 5.35 26.84 15.27 21.06
2000 5 23 0.47 23.05 8.16 15.61
2000 5 24 0.62 19 6.96 12.98
2000 5 25 9.77 29.7 16.83 23.27
2000 5 26 0 25.45 17.92 21.69
2000 5 27 0 17.39 2.86 10.12
2000 5 28 17.05 24.48 12.32 18.4
2000 5 29 0 32.52 17.54 25.03
2000 5 30 15.23 28.09 14.28 21.19
2000 5 31 12.57 22.89 17.09 19.98
2000 6 1 4.18 26.63 19.02 22.82
2000 6 2 0 30.24 15.07 22.66
2000 6 3 0 28.57 11 19.79
2000 6 4 0 26.39 8.63 17.52
