YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 100.74 2.16 -10.09 -3.97 17.35 12.25
2000 2 62.55 4.93 -7.6 -1.33 24.6 12.53
2000 3 144.23 7.79 -2.05 2.87 42.24 9.84
2000 4 78.98 15.37 1.98 8.67 83.42 13.39
2000 5 166.77 22.77 9.13 15.95 135.17 13.64
2000 6 43.97 27.69 13.14 20.41 169.26 14.55
2000 7 124.98 30.31 17.17 23.74 182.56 13.14
2000 8 83.58 29.99 15.42 22.7 173.7 14.57
2000 9 81.44 22.96 9.66 16.31 113.66 13.31
2000 10 157.28 18.31 6.25 12.28 75.15 12.06
2000 11 138.96 11.67 0.64 6.15 38.69 11.03
2000 12 119.85 3.65 -6.04 -1.19 19.31 9.69
2001 1 24.62 3.53 -7.26 -1.87 18.76 10.79
2001 2 59.76 3.2 -8.96 -2.88 21.95 12.16
2001 3 160.89 9.6 -1.45 4.07 47.34 11.05
2001 4 100.38 17 4.65 10.83 86.64 12.35
2001 5 65.73 21.26 6.99 14.13 130.81 14.28
2001 6 198.7 26.08 14.93 20.5 148.49 11.15
2001 7 128.93 30.08 16.74 23.41 182.55 13.35
2001 8 84.82 28.31 14.76 21.53 162.68 13.55
2001 9 107.2 26.29 12.73 19.51 125.52 13.56
2001 10 139.55 16.8 5.3 11.05 70.36 11.49
2001 11 193.15 11.01 1.06 6.04 36.57 9.95
2001 12 114.45 6.15 -3.15 1.5 21.99 9.31
2002 1 7.17 -0.61 -12.42 -6.52 13.9 11.81
2002 2 79.94 2.54 -8.87 -3.16 20.87 11.41
2002 3 62.8 8.25 -2.87 2.69 44.5 11.12
2002 4 42.81 15.88 2.25 9.07 85.41 13.63
2002 5 104.97 22.53 10.1 16.32 130.44 12.43
2002 6 68.34 27.45 14.07 20.76 163.77 13.38
2002 7 156.01 29.61 15.99 22.8 181.72 13.63
2002 8 52.25 32 17.66 24.83 181.43 14.35
2002 9 150.79 20.86 8.26 14.56 104.94 12.6
2002 10 36.16 19.97 6.2 13.09 82.46 13.77
2002 11 146.93 10.65 1.17 5.91 35.51 9.48
2002 12 112.79 4.87 -5.29 -0.21 20.95 10.16
2003 1 47.54 3.4 -7.62 -2.11 18.66 11.02
2003 2 59.27 2.66 -10.08 -3.71 21.98 12.75
2003 3 105.59 9.2 -2.99 3.1 48.08 12.2
2003 4 64.2 16.79 3.72 10.25 88.04 13.07
2003 5 109.51 21.2 7.41 14.3 129.9 13.79
2003 6 97.6 28.09 14.91 21.5 165.94 13.18
2003 7 71.6 28.76 17.16 22.96 168.19 11.6
2003 8 55.47 29.14 14.4 21.77 170.03 14.75
2003 9 116.42 25.92 14.43 20.18 116.74 11.49
2003 10 44.81 19.72 5.3 12.51 81.93 14.43
2003 11 84.41 11.59 0.58 6.09 38.11 11.01
2003 12 125.18 7.57 -1.1 3.23 22.98 8.66
2004 1 17.45 0.82 -10.3 -4.74 15.61 11.12
2004 2 75.28 2.26 -10.41 -4.07 20.62 12.68
2004 3 111.17 8.81 -2.72 3.05 46.1 11.53
2004 4 32.56 14.61 1.19 7.9 81.09 13.42
2004 5 200.29 22.2 9.74 15.97 129.28 12.46
2004 6 88.71 26.55 12.54 19.55 162.27 14
2004 7 96.84 30.05 17.72 23.89 177.53 12.34
2004 8 80.55 30.32 16.46 23.39 172.26 13.85
2004 9 93.71 24.2 10.69 17.44 118.35 13.51
2004 10 110.96 20.34 5.29 12.81 85.43 15.05
2004 11 22.13 12.36 0.02 6.19 41 12.34
2004 12 87.06 4.03 -6.06 -1.01 19.91 10.08
2005 1 131.15 3.28 -7.63 -2.18 18.49 10.91
2005 2 40.2 3.18 -8.55 -2.68 21.85 11.74
2005 3 90.6 6.93 -2.45 2.24 39.96 9.37
2005 4 112.63 17.04 4.86 10.95 86.41 12.18
2005 5 154.53 19.59 8.24 13.92 115.9 11.36
2005 6 67.89 27.3 13.33 20.32 165.43 13.97
2005 7 71.36 31.64 17.49 24.56 193.2 14.15
2005 8 89.14 27.94 14.35 21.15 161.31 13.59
2005 9 181.4 27.7 14.27 20.98 129.81 13.42
2005 10 212.68 17.61 7.79 12.7 68.76 9.82
2005 11 72.32 12.06 0.59 6.32 39.74 11.47
2005 12 71.19 4.22 -6.81 -1.29 20.48 11.03
2006 1 152.02 2.44 -10.18 -3.87 17.73 12.62
2006 2 43.9 4.77 -7.31 -1.27 24.25 12.09
2006 3 179.27 8.19 -3.55 2.32 44.9 11.74
2006 4 108.03 15.42 3.36 9.39 81.31 12.06
2006 5 168.52 22.69 10.01 16.35 131.84 12.67
2006 6 88.95 27.19 13.31 20.25 164.57 13.88
2006 7 178 29.06 16.7 22.88 173.41 12.36
2006 8 84.72 29.29 15.6 22.44 167.27 13.69
2006 9 73.97 24.04 9.75 16.9 119.79 14.29
2006 10 84.31 20.39 5.55 12.97 85.28 14.84
2006 11 137.55 11.54 0.77 6.15 38.24 10.77
2006 12 73.35 3.16 -6.09 -1.47 18.56 9.25
2007 1 19.14 5.43 -5.28 0.07 20.97 10.72
