YEAR MONTH DAY PRCP TMAX TMIN TAVG
2000 1 1 0 30 20 25
2000 1 2 0 -4.96 -18.31 -11.63
2000 1 3 0.05 2.03 -8.94 -3.46
2000 1 4 3.67 8.58 -4.23 2.17
2000 1 5 18.12 0.61 -6.34 -2.86
2000 1 6 7.4 1.27 -10.67 -4.7
2000 1 7 8.57 -0.51 -8.49 -4.5
2000 1 8 0 -1.76 -16.92 -9.34
2000 1 9 0.65 -0.55 -10.31 -5.43
2000 1 10 23.17 2.67 -6.66 -2
2000 1 11 0 -1.76 -16.92 -9.34
2000 1 12 0 5.51 -3.23 1.14
2000 1 13 0 -3.67 -17.44 -10.55
2000 1 14 0 0.37 -16.31 -7.97
2000 1 15 0 1.69 -14.69 -6.5
2000 1 16 1.23 2.56 -9.22 -3.33
2000 1 17 0 2.16 -8.35 -3.09
2000 1 18 0 6.57 -6.53 0.02
2000 1 19 0.45 -0.47 -19.78 -10.12
2000 1 20 0 -5.59 -19.41 -12.5
2000 1 21 0 -9.26 -24.58 -16.92
2000 1 22 0.05 -9.06 -28.12 -18.59
2000 1 23 0 2.72 -9.63 -3.46
2000 1 24 12.52 -3.78 -13.27 -8.53
2000 1 25 17.42 1.5 -6.09 -2.29
2000 1 26 0 -0.46 -10.35 -5.41
2000 1 27 0.52 2.7 -12.83 -5.06
2000 1 28 16.88 5.06 -7.35 -1.15
2000 1 29 0 2.35 -18.81 -8.23
2000 1 30 0 -1.28 -10.77 -6.02
2000 1 31 0 -6.25 -15.46 -10.86
2000 2 1 0 -6.41 -17.11 -11.76
2000 2 2 0.1 -3.9 -12.57 -8.23
2000 2 3 0 2.46 -15.47 -6.51
2000 2 4 0 4.73 -13.43 -4.35
2000 2 5 0 -4.55 -15.56 -10.05
2000 2 6 0 -8.81 -26.66 -17.73
2000 2 7 0 -3.94 -17.29 -10.62
2000 2 8 0 16.17 -0.97 7.6
2000 2 9 0 4.14 -10.94 -3.4
2000 2 10 0 -0.94 -12.64 -6.79
2000 2 11 0 5.39 -6.68 -0.64
2000 2 12 0 1.55 -11.83 -5.14
2000 2 13 0 4.18 -11.36 -3.59
2000 2 14 0 -1.26 -17.25 -9.26
2000 2 15 0 -1.08 -20.08 -10.58
2000 2 16 7.88 1.94 -5.71 -1.88
2000 2 17 0 2.56 -1.72 0.42
2000 2 18 0 0.45 -12.92 -6.24
2000 2 19 7.78 2.83 -13.73 -5.45
2000 2 20 29.9 -0.05 -5.12 -2.58
2000 2 21 1.35 11.99 -3.96 4.02
2000 2 22 0.52 0.05 -9.51 -4.73
2000 2 23 0 2.17 -7.84 -2.84
2000 2 24 0 4.82 -4.52 0.15
2000 2 25 2.97 2.61 -1.74 0.43
2000 2 26 0 -2.49 -6.63 -4.56
2000 2 27 0 6 -3.38 1.31
2000 2 28 0 7.41 -3.1 2.16
2000 2 29 0 4.54 -12.14 -3.8
2000 3 1 0 14.44 -0.9 6.77
2000 3 2 0 2.59 -4.99 -1.2
2000 3 3 0 5.81 -10.28 -2.23
2000 3 4 0 3.8 -11.61 -3.9
2000 3 5 0 5.93 -9.24 -1.66
2000 3 6 6.97 7.38 -3.74 1.82
2000 3 7 0 10.87 -0.38 5.24
2000 3 8 1.27 6.17 -6.21 -0.02
2000 3 9 0 0.46 -8.66 -4.1
2000 3 10 0 3.43 -1.35 1.04
2000 3 11 0 -2.73 -10.81 -6.77
2000 3 12 0 11.87 -5.69 3.09
2000 3 13 2.35 0.84 -12.51 -5.84
2000 3 14 30.7 7.22 1.12 4.17
2000 3 15 20.05 7.75 3.14 5.45
2000 3 16 3.28 -0.77 -3.67 -2.22
2000 3 17 0 1.7 -8.3 -3.3
2000 3 18 0 7.03 -6.19 0.42
2000 3 19 0 -5 -11.03 -8.02
2000 3 20 4.57 2.84 -10.39 -3.78
2000 3 21 3.4 1.74 -6.24 -2.25
2000 3 22 12.23 6.93 -7.24 -0.16
2000 3 23 3.4 -0.7 -9.02 -4.86
2000 3 24 0 2.75 -6.95 -2.1
2000 3 25 0 6.84 -10.6 -1.88
2000 3 26 0 7.26 -3.99 1.63
2000 3 27 0 7.27 -3.54 1.86
2000 3 28 0.95 7.49 0.02 3.75
2000 3 29 0.38 10.4 1.33 5.87
2000 3 30 0 13.08 -1.22 5.93
2000 3 31 0 7.25 -5.7 0.77
2000 4 1 0 10.47 -1.11 4.68
2000 4 2 0.28 8.29 -5.19 1.55
2000 4 3 9.4 6.09 -7.02 -0.46
2000 4 4 0.15 14.42 -2.2 6.11
2000 4 5 4.22 13.89 -1.77 6.06
2000 4 6 0.77 10.69 0.01 5.35
2000 4 7 0.25 7.25 -4.98 1.13
2000 4 8 0.52 22.38 0.87 11.62
2000 4 9 0.4 14.16 -0.64 6.76
2000 4 10 0.17 4.76 -2.32 1.22
2000 4 11 0.1 15.52 1.66 8.59
2000 4 12 1.35 15.03 1.09 8.06
2000 4 13 17.8 9.73 2.04 5.88
2000 4 14 37.42 8.12 2.15 5.13
2000 4 15 0.15 7.35 -2.05 2.65
2000 4 16 0 17.98 5.12 11.55
2000 4 17 7.4 17.43 -0.28 8.57
2000 4 18 15.93 18.58 3.79 11.18
2000 4 19 37.42 8.12 2.15 5.13
2000 4 20 9.02 15.39 1.7 8.54
2000 4 21 0.15 20.81 5.69 13.25
2000 4 22 0 25.31 5.62 15.46
2000 4 23 0.28 18.9 1.04 9.97
2000 4 24 0 18.37 -3.2 7.59
2000 4 25 0 23.55 3.17 13.36
2000 4 26 2.17 15.29 -2.08 6.6
2000 4 27 0 8.52 -3.06 2.73
2000 4 28 0.62 18.05 7.26 12.66
2000 4 29 0.1 17 8.03 12.52
2000 4 30 0.03 21.86 4.74 13.3
2000 5 1 4.55 21.84 6.63 14.23
2000 5 2 0 15.74 -0.67 7.54
2000 5 3 0 20.07 5.31 12.69
2000 5 4 0 7.5 -2.14 2.68
2000 5 5 12.23 23.17 4.33 13.75
2000 5 6 5.4 8.35 2.7 5.53
2000 5 7 10.15 15.09 5.26 10.18
2000 5 8 0.22 9.9 4.8 7.35
2000 5 9 8.5 23.5 7.83 15.66
2000 5 10 0 23.76 12 17.88
2000 5 11 0 21.09 2 11.54
2000 5 12 0.2 24.95 5.21 15.08
2000 5 13 0 22.56 7.5 15.03
2000 5 14 0 18.64 8.95 13.8
2000 5 15 5.3 30.59 10.79 20.69
2000 5 16 0.4 30.15 15.02 22.59
2000 5 17 0 18.37 5.54 11.96
2000 5 18 0 21.23 4.99 13.11
2000 5 19 0.55 23.59 5.72 14.65
2000 5 20 5.4 16.4 5.79 11.09
2000 5 21 1.25 15.18 8.41 11.8
2000 5 22 0 23.6 8.76 16.18
2000 5 23 2.7 20.44 3.9 12.17
2000 5 24 2.45 16.91 5.52 11.21
2000 5 25 2.45 16.91 5.52 11.21
2000 5 26 0 17.65 8.65 13.15
2000 5 27 0.25 32.16 16.53 24.34
2000 5 28 2.05 21.96 10.88 16.42
2000 5 29 1.08 16.83 3.29 10.06
2000 5 30 0.17 21.29 7.73 14.51
2000 5 31 1.88 18.64 5.53 12.09
2000 6 1 0.28 17.48 8.81 13.14
2000 6 2 0.62 28.76 15.12 21.94
2000 6 3 0.12 19.71 4.08 11.89
2000 6 4 0.2 28.5 11.44 19.97
2000 6 5 0.32 23.34 6.46 14.9
2000 6 6 8 26.01 10.56 18.29
2000 6 7 0.5 14.16 10.69 12.43
2000 6 8 0.05 16.62 11.15 13.89
2000 6 9 0.75 25.42 8.09 16.76
2000 6 10 4.8 23.97 12.78 18.38
2000 6 11 13.93 13.22 8.93 11.07
2000 6 12 2.15 14.58 9.24 11.91
2000 6 13 0.43 24.1 9.69 16.89
2000 6 14 18.52 27.77 15.22 21.5
2000 6 15 0 18.61 8.1 13.36
2000 6 16 3.35 20.95 7.15 14.05
2000 6 17 1.5 27.01 12.27 19.64
2000 6 18 5.15 26.77 10.63 18.7
2000 6 19 0 20.82 10.79 15.8
2000 6 20 0 29.3 18.51 23.91
2000 6 21 0 23.7 4.52 14.11
2000 6 22 0 29.02 15.3 22.16
2000 6 23 8.45 25.16 15.13 20.14
2000 6 24 28.2 20.88 13.21 17.05
2000 6 25 10.93 17.49 10.48 13.98
2000 6 26 3.1 31.68 18.52 25.1
2000 6 27 0 24.74 14.12 19.43
2000 6 28 10.15 25.11 14.12 19.61
2000 6 29 0 28.46 15.57 22.02
2000 6 30 4.47 28.47 14.17 21.32
2000 7 1 3.47 28.46 19.52 23.99
2000 7 2 0 24.66 9.36 17.01
2000 7 3 0 29.05 15.34 22.2
2000 7 4 0 30.62 17.83 24.23
2000 7 5 0 26.27 4.69 15.48
2000 7 6 0 24.67 8.45 16.56
2000 7 7 0.65 27.25 12.57 19.91
2000 7 8 0 25.88 8.79 17.34
2000 7 9 0 21.89 7.53 14.71
2000 7 10 0 31.89 13.39 22.64
2000 7 11 0 28.55 9.16 18.86
2000 7 12 0 28.74 10.33 19.54
2000 7 13 0 24.61 8.75 16.68
2000 7 14 0 29.18 11.71 20.45
2000 7 15 0 26.29 8.88 17.59
2000 7 16 0 27.93 8.61 18.27
2000 7 17 7.22 30.35 13.61 21.98
2000 7 18 2.8 25.61 16.11 20.86
2000 7 19 0.05 25.63 14.08 19.86
