YEAR MONTH PRCP TMAX TMIN TAVG ET DIF
2000 1 110.7 0.94 -11.61 -5.34 15.82 12.55
2000 2 50.5 1.81 -10.41 -4.3 19.92 12.22
2000 3 89.55 5.22 -5.64 -0.21 37.76 10.86
2000 4 146.1 14.44 0.67 7.56 81.03 13.77
2000 5 67.18 19.94 6.53 13.23 123.24 13.41
2000 6 125.97 23.39 11.49 17.44 141.16 11.9
2000 7 94.35 27.48 13.05 20.27 175.35 14.43
2000 8 86.7 26.11 12.32 19.21 154.41 13.79
2000 9 126.67 22.82 10.83 16.82 109.52 11.99
2000 10 17.81 16.87 0.86 8.87 76.76 16.01
2000 11 126.58 9.61 -1.96 3.82 35.79 11.58
2000 12 29.97 2.19 -8.96 -3.39 17.98 11.15
2001 1 68.17 -1.55 -12.5 -7.02 12.78 10.95
2001 2 45.57 0.22 -11.49 -5.64 17.56 11.71
2001 3 151.95 7.11 -4.25 1.43 42.2 11.36
2001 4 125.97 12.66 -0.29 6.19 74.31 12.95
2001 5 165.52 18.86 5.29 12.07 119.32 13.57
2001 6 69.32 25.29 11.27 18.28 156.84 14.02
2001 7 55.67 28.78 15.29 22.04 177.38 13.49
2001 8 69.21 26.93 13.25 20.09 157.45 13.68
2001 9 75.19 23.61 8.94 16.27 119.19 14.66
2001 10 101.01 15.82 3.22 9.52 69.75 12.6
2001 11 87.99 10.91 -0.87 5.02 38.09 11.78
2001 12 76.44 2.21 -7.07 -2.43 17.5 9.29
2002 1 126.49 -0.38 -10.86 -5.62 14.13 10.48
2002 2 88.33 -0.63 -11.25 -5.94 16.31 10.62
2002 3 100.08 5.97 -3.03 1.47 37.65 9
2002 4 42.31 13.82 0.24 7.03 78.81 13.58
2002 5 60.97 21.67 5.96 13.82 135.88 15.71
2002 6 77.38 26.06 10.67 18.36 164.74 15.39
2002 7 119.6 27.46 15.83 21.64 163.11 11.63
2002 8 108.12 26.28 12.86 19.57 153.79 13.42
2002 9 135.33 21.63 7.69 14.66 110.72 13.94
2002 10 61.61 16.88 2.62 9.75 74.83 14.25
2002 11 131.63 7.78 -2.96 2.41 32.22 10.74
2002 12 136.2 3.91 -6.23 -1.16 19.79 10.14
2003 1 47.16 0.55 -10.99 -5.22 15.32 11.54
2003 2 40.29 0.36 -11.17 -5.4 18.4 11.53
2003 3 156.56 5.53 -5.56 -0.02 39 11.09
2003 4 57.02 14.61 0.73 7.67 82.38 13.88
2003 5 39.34 19.72 3.44 11.58 129.15 16.28
2003 6 131.88 23.75 11.12 17.44 145.62 12.63
2003 7 102.99 27.64 13.63 20.63 174.22 14.01
2003 8 161.58 26.25 12.86 19.55 152.99 13.39
2003 9 78.92 22.35 7.86 15.11 113.57 14.49
2003 10 34.63 16.58 2.88 9.73 72.53 13.7
2003 11 131.5 9.08 -2.55 3.27 34.53 11.63
2003 12 146.18 2.98 -6.84 -1.93 18.46 9.82
2004 1 146.36 0.14 -10.15 -5.01 14.7 10.28
2004 2 74.56 2.88 -8.85 -2.98 21.41 11.72
2004 3 83.88 5.73 -6.07 -0.17 39.43 11.8
2004 4 97.82 14.8 1.25 8.03 81.87 13.55
2004 5 88 19.71 6.59 13.15 121.58 13.12
2004 6 76.47 25.84 12.21 19.03 157.86 13.63
2004 7 140.04 27.3 14.16 20.73 169.37 13.14
2004 8 47.54 26.13 13.05 19.59 151.92 13.08
2004 9 117.58 21.78 9.76 15.77 106.34 12.02
2004 10 69.23 17.2 2.1 9.65 76.74 15.1
2004 11 51.46 9.64 -1.44 4.1 35.47 11.09
2004 12 89.24 2.71 -7.95 -2.62 18.52 10.66
2005 1 37.73 0.95 -10 -4.52 15.75 10.95
2005 2 43.29 -0.45 -12.65 -6.55 16.59 12.21
2005 3 83.04 6.79 -5.09 0.85 41.88 11.89
2005 4 80.54 14.19 0.92 7.55 79.5 13.26
2005 5 45.67 17.89 4.91 11.4 114.06 12.97
2005 6 61.39 25.86 11.51 18.69 160.44 14.34
2005 7 78.23 27.39 13.43 20.41 173.14 13.96
2005 8 184.97 26.47 14.53 20.5 148.72 11.95
2005 9 115.01 21.53 7.01 14.27 111.63 14.52
2005 10 179.89 15.41 4.06 9.74 66.75 11.35
2005 11 111.59 9.83 -1.04 4.4 35.59 10.87
2005 12 29.96 0.48 -10.46 -4.99 15.83 10.94
2006 1 69.27 -0.11 -9.87 -4.99 14.34 9.76
2006 2 71.19 -0.14 -12.77 -6.45 17.01 12.62
2006 3 57.57 5.69 -5.23 0.22 38.79 10.92
2006 4 103.69 13.07 0.1 6.58 75.62 12.97
2006 5 149.85 19.58 6.32 12.95 121.42 13.26
2006 6 137.19 23.89 11.09 17.49 146.55 12.79
