"","Season","StandardizedFlow","StandardizedTemperature","Lambda"
"1","Spring",-1.5,-1.5,0.560286435700237
"2","Summer",-1.5,-1.5,0.356614750775542
"3","Fall",-1.5,-1.5,0.445981122615166
"4","Winter",-1.5,-1.5,0.530961529264917
"5","Spring",-1.25,-1.5,0.585298464758012
"6","Summer",-1.25,-1.5,0.450843302300586
"7","Fall",-1.25,-1.5,0.494950213415181
"8","Winter",-1.25,-1.5,0.53847297477266
"9","Spring",-1,-1.5,0.610869286956338
"10","Summer",-1,-1.5,0.571901116426732
"11","Fall",-1,-1.5,0.548643273214284
"12","Winter",-1,-1.5,0.539251545299704
"13","Spring",-0.75,-1.5,0.636824995573996
"14","Summer",-0.75,-1.5,0.721197976723424
"15","Fall",-0.75,-1.5,0.607107929891511
"16","Winter",-0.75,-1.5,0.532677747746271
"17","Spring",-0.5,-1.5,0.66289140862245
"18","Summer",-0.5,-1.5,0.899852683750409
"19","Fall",-0.5,-1.5,0.67037750116183
"20","Winter",-0.5,-1.5,0.517069375697176
"21","Spring",-0.25,-1.5,0.688757360059257
"22","Summer",-0.25,-1.5,1.11289106238336
"23","Fall",-0.25,-1.5,0.738619535572153
"24","Winter",-0.25,-1.5,0.489711949784698
"25","Spring",0,-1.5,0.714207464918532
"26","Summer",0,-1.5,1.36805630494356
"27","Fall",0,-1.5,0.812123323921627
"28","Winter",0,-1.5,0.449321895275854
"29","Spring",0.25,-1.5,0.73916965123098
"30","Summer",0.25,-1.5,1.66870519504691
"31","Fall",0.25,-1.5,0.891083927727269
"32","Winter",0.25,-1.5,0.400322237331189
"33","Spring",0.5,-1.5,0.763611898261138
"34","Summer",0.5,-1.5,2.01242372588537
"35","Fall",0.5,-1.5,0.975451280077562
"36","Winter",0.5,-1.5,0.35252460642267
"37","Spring",0.75,-1.5,0.787467687106992
"38","Summer",0.75,-1.5,2.38999163287122
"39","Fall",0.75,-1.5,1.06488887028379
"40","Winter",0.75,-1.5,0.313471803360037
"41","Spring",1,-1.5,0.810607794667091
"42","Summer",1,-1.5,2.78310606028902
"43","Fall",1,-1.5,1.15868131569152
"44","Winter",1,-1.5,0.283101412063637
"45","Spring",1.25,-1.5,0.832776004510561
"46","Summer",1.25,-1.5,3.16601252070535
"47","Fall",1.25,-1.5,1.25559666287941
"48","Winter",1.25,-1.5,0.256679774774494
"49","Spring",1.5,-1.5,0.853431155475062
"50","Summer",1.5,-1.5,3.51205390976358
"51","Fall",1.5,-1.5,1.35374978314434
"52","Winter",1.5,-1.5,0.230431003681618
