,Season,StandardizedFlow,StandardizedTemperature,Lambda,meanFlow,sdFlow,meanTemp,sdTemp,Flow,Temp
1,Spring,-1.5,-1.5,0.560286436,0.164927627,0.080264126,10.58272442,1.324704802,0.044531438,8.59566722
2,Summer,-1.5,-1.5,0.356614751,0.052218074,0.045882283,16.02298656,0.660846285,-0.01660535,15.03171714
3,Fall,-1.5,-1.5,0.445981123,0.15686571,0.118468631,7.687613231,1.953109223,-0.020837236,4.757949396
4,Winter,-1.5,-1.5,0.530961529,0.201612372,0.043500877,1.723267351,0.454017406,0.136361057,1.042241243
5,Spring,-1.25,-1.5,0.585298465,0.164927627,0.080264126,10.58272442,1.324704802,0.06459747,8.59566722
6,Summer,-1.25,-1.5,0.450843302,0.052218074,0.045882283,16.02298656,0.660846285,-0.005134779,15.03171714
7,Fall,-1.25,-1.5,0.494950213,0.15686571,0.118468631,7.687613231,1.953109223,0.008779921,4.757949396
8,Winter,-1.25,-1.5,0.538472975,0.201612372,0.043500877,1.723267351,0.454017406,0.147236276,1.042241243
9,Spring,-1,-1.5,0.610869287,0.164927627,0.080264126,10.58272442,1.324704802,0.084663501,8.59566722
10,Summer,-1,-1.5,0.571901116,0.052218074,0.045882283,16.02298656,0.660846285,0.006335791,15.03171714
11,Fall,-1,-1.5,0.548643273,0.15686571,0.118468631,7.687613231,1.953109223,0.038397079,4.757949396
12,Winter,-1,-1.5,0.539251545,0.201612372,0.043500877,1.723267351,0.454017406,0.158111495,1.042241243
13,Spring,-0.75,-1.5,0.636824996,0.164927627,0.080264126,10.58272442,1.324704802,0.104729533,8.59566722
14,Summer,-0.75,-1.5,0.721197977,0.052218074,0.045882283,16.02298656,0.660846285,0.017806362,15.03171714
15,Fall,-0.75,-1.5,0.60710793,0.15686571,0.118468631,7.687613231,1.953109223,0.068014237,4.757949396
16,Winter,-0.75,-1.5,0.532677748,0.201612372,0.043500877,1.723267351,0.454017406,0.168986715,1.042241243
17,Spring,-0.5,-1.5,0.662891409,0.164927627,0.080264126,10.58272442,1.324704802,0.124795564,8.59566722
